"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy baja",0.046,0.042,0.049,0.065,0.048,0.04,0.032,0.072,0.046,0.018,0.039,0.042,0.034,0.053,0.019,0.03,0.009,0.075,0.043,0.049
"Baja",0.066,0.067,0.066,0.021,0.086,0.059,0.078,0.098,0.077,0.021,0.082,0.067,0,0.099,0.071,0.058,0.045,0.032,0.06,0.078
"Moderada",0.095,0.093,0.097,0.11,0.071,0.106,0.114,0.121,0.093,0.073,0.136,0.075,0.016,0.148,0.112,0.033,0.063,0.075,0.081,0.121
"Alta",0.272,0.27,0.274,0.238,0.271,0.277,0.297,0.299,0.242,0.282,0.397,0.185,0.29,0.414,0.407,0.137,0.131,0.155,0.281,0.256
"Muy alta",0.521,0.528,0.514,0.566,0.524,0.518,0.479,0.41,0.542,0.606,0.346,0.631,0.66,0.286,0.391,0.742,0.752,0.663,0.535,0.496
