"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.429,0.41,0.447,0.409,0.433,0.463,0.389,0.418,0.423,0.448,0.71,0.229,0.338,0.834,0.559,0.116,0.093,0.156,0.44,0.409
"Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.311,0.3,0.323,0.236,0.265,0.332,0.441,0.336,0.28,0.332,0.106,0.518,0.366,0.081,0.073,0.804,0.683,0.187,0.305,0.323
"Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.159,0.206,0.112,0.236,0.194,0.101,0.099,0.136,0.19,0.136,0.092,0.191,0.181,0.069,0.105,0.047,0.112,0.592,0.148,0.178
"Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.036,0.036,0.036,0.052,0.038,0.038,0.017,0.035,0.034,0.04,0.032,0.021,0.024,0,0.157,0.011,0.009,0.018,0.041,0.027
"En blanco",0.029,0.021,0.036,0.023,0.029,0.037,0.024,0.039,0.03,0.016,0.023,0.019,0.061,0.008,0.035,0.009,0.031,0.024,0.03,0.027
"No sabe",0.036,0.027,0.046,0.044,0.041,0.029,0.03,0.036,0.043,0.028,0.037,0.022,0.03,0.008,0.071,0.013,0.072,0.023,0.036,0.036
