"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Si",0.214,0.213,0.214,0.249,0.217,0.213,0.175,0.199,0.202,0.244,0.149,0.225,0.506,0.058,0.38,0.287,0.29,0.167,0.184,0.265
"No",0.786,0.787,0.786,0.751,0.783,0.787,0.825,0.801,0.798,0.756,0.851,0.775,0.494,0.942,0.62,0.713,0.71,0.833,0.816,0.735
