"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P06","Mucho",0.615,0.452,0.569,0.511,0.441,0.272,0.45,0.377,0.549
"P06","Bastante",0.177,0.247,0.316,0.344,0.301,0.355,0.36,0.334,0.349
"P06","Poco",0.085,0.167,0.084,0.098,0.189,0.229,0.138,0.212,0.031
"P06","Nada",0.123,0.134,0.018,0.045,0.053,0.107,0.039,0.065,0.055
"P06","No sabe",0,0,0.013,0.002,0.016,0.037,0.013,0.012,0.016
"P07","Siempre",0.467,0.313,0.206,0.237,0.193,0.185,0.256,0.282,0.13
"P07","Casi siempre",0.28,0.302,0.473,0.429,0.387,0.352,0.436,0.355,0.494
"P07","Casi nunca",0.219,0.337,0.261,0.232,0.306,0.34,0.24,0.239,0.301
"P07","Nunca, pero esta es una excepción",0.034,0.048,0.06,0.102,0.114,0.123,0.068,0.124,0.075
"P10","Tiene Decidido que va a ir a votar",0.922,0.834,0.967,0.916,0.888,0.773,0.844,0.894,0.93
"P10","Tiene dudas sobre si va a ir a  votar",0.059,0.016,0.018,0.08,0.088,0.109,0.139,0.074,0.026
"P10","Tiene Decidido que no va a ir a votar",0.019,0.15,0.015,0.004,0.024,0.118,0.017,0.032,0.044
"P13","Unión por la Patria",0.469,0.46,0.589,0.458,0.377,0.266,0.358,0.276,0.487
"P13","Juntos por el Cambio ",0.051,0.152,0.194,0.205,0.268,0.212,0.285,0.288,0.112
"P13","Liberales",0.17,0.117,0.146,0.152,0.19,0.161,0.198,0.194,0.188
"P13","Izquierda",0.081,0.048,0.02,0.025,0.037,0.038,0.04,0.044,0
"P13","Hacemos por Nuestro país",0.082,0.173,0.023,0.082,0.05,0.102,0.05,0.085,0.211
"P13","No sabe",0.147,0.05,0.028,0.078,0.078,0.221,0.069,0.113,0.002
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.582,0.438,0.59,0.458,0.404,0.406,0.383,0.309,0.501
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.185,0.21,0.238,0.255,0.312,0.206,0.343,0.352,0.234
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.233,0.316,0.125,0.179,0.173,0.202,0.19,0.232,0.2
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0,0,0.019,0.007,0.022,0.029,0.013,0.012,0
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0,0,0.003,0.046,0.025,0.037,0.021,0.024,0
"P18","En blanco",0,0,0.006,0.033,0.021,0.068,0.021,0.038,0.051
"P18","No sabe",0,0.036,0.019,0.022,0.043,0.052,0.029,0.033,0.014
"P21","Totalmente seguro",0.86,0.753,0.791,0.718,0.687,0.563,0.711,0.645,0.723
"P21","Bastante seguro",0.039,0.077,0.113,0.141,0.157,0.159,0.137,0.144,0.084
"P21","Algo seguro",0.101,0.147,0.079,0.072,0.08,0.154,0.091,0.127,0.024
"P21","Para nada seguro",0,0.023,0.017,0.069,0.076,0.124,0.061,0.084,0.169
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.296,0,0.116,0.104,0.027,0.164,0.098,0.096,0.035
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.015,0.159,0.03,0.083,0.063,0.094,0.052,0.121,0
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.327,0.278,0.246,0.192,0.241,0.271,0.25,0.276,0.057
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.054,0.486,0.321,0.287,0.189,0.143,0.25,0.159,0.375
"P32","En blanco",0.285,0.022,0.218,0.218,0.278,0.102,0.235,0.194,0.259
"P32","No sabe",0.023,0.055,0.069,0.116,0.202,0.226,0.115,0.154,0.274
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.334,0,0.142,0.142,0.041,0.038,0.079,0.121,0
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.031,0.216,0.397,0.372,0.396,0.488,0.432,0.304,0
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.143,0.454,0.168,0.132,0.259,0.131,0.163,0.096,0.22
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.032,0,0,0.013,0.023,0.011,0.007,0.026,0
"P33","En blanco",0.126,0.243,0.209,0.185,0.151,0.23,0.182,0.291,0.238
"P33","No sabe",0.334,0.087,0.084,0.156,0.13,0.102,0.137,0.162,0.542
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0,0.059,0.132,0.103,0.084,0.345,0.254,0.135,0.391
