"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy buena",0.108,0.142,0.074,0.149,0.112,0.103,0.069,0.114,0.107,0.103,0.164,0.077,0.031,0.199,0.097,0.031,0.055,0.097,0.12,0.087
"Buena",0.295,0.295,0.296,0.348,0.276,0.302,0.276,0.26,0.284,0.346,0.405,0.211,0.225,0.419,0.379,0.169,0.195,0.225,0.31,0.269
"Regular",0.39,0.372,0.408,0.301,0.387,0.413,0.447,0.392,0.381,0.401,0.313,0.452,0.365,0.27,0.366,0.488,0.498,0.464,0.38,0.408
"Mala",0.137,0.123,0.15,0.096,0.142,0.149,0.147,0.146,0.149,0.111,0.081,0.174,0.327,0.071,0.118,0.22,0.19,0.112,0.137,0.136
"Muy mala",0.07,0.068,0.072,0.106,0.083,0.033,0.061,0.088,0.079,0.039,0.037,0.086,0.052,0.041,0.04,0.092,0.062,0.102,0.053,0.1
