"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy buena",0.044,0.058,0.031,0.096,0.033,0.048,0.015,0.032,0.056,0.042,0.073,0.026,0.003,0.066,0.101,0.005,0.008,0.037,0.041,0.05
"Buena",0.195,0.18,0.21,0.172,0.18,0.201,0.238,0.155,0.18,0.257,0.284,0.143,0.218,0.338,0.22,0.103,0.211,0.053,0.19,0.205
"Regular",0.439,0.455,0.422,0.361,0.456,0.444,0.468,0.483,0.411,0.427,0.426,0.463,0.391,0.393,0.436,0.465,0.502,0.5,0.438,0.44
"Mala",0.211,0.195,0.226,0.187,0.223,0.209,0.209,0.203,0.235,0.188,0.161,0.241,0.173,0.165,0.184,0.268,0.208,0.211,0.228,0.179
"Muy mala",0.111,0.112,0.111,0.184,0.108,0.098,0.07,0.127,0.118,0.086,0.056,0.127,0.215,0.038,0.059,0.159,0.071,0.199,0.103,0.126
