"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy positiva",0.367,0.36,0.373,0.332,0.376,0.406,0.321,0.366,0.343,0.4,0.582,0.195,0.122,0.634,0.511,0.091,0.093,0.209,0.398,0.308
"Positiva",0.214,0.221,0.206,0.223,0.226,0.199,0.202,0.194,0.217,0.23,0.231,0.187,0.27,0.216,0.255,0.195,0.219,0.196,0.229,0.184
"Neutral",0.207,0.198,0.217,0.257,0.196,0.186,0.223,0.223,0.213,0.184,0.096,0.308,0.277,0.082,0.13,0.326,0.411,0.282,0.181,0.257
"Algo negativa",0.084,0.08,0.089,0.078,0.076,0.092,0.095,0.056,0.112,0.078,0.029,0.13,0.046,0.024,0.024,0.159,0.191,0.08,0.082,0.09
"Negativa",0.092,0.108,0.077,0.088,0.087,0.085,0.114,0.094,0.086,0.097,0.044,0.143,0.208,0.032,0.063,0.173,0.05,0.186,0.077,0.121
"No sabe",0.036,0.033,0.038,0.022,0.039,0.032,0.045,0.067,0.029,0.011,0.018,0.037,0.077,0.012,0.017,0.056,0.036,0.047,0.033,0.04
