"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy positivo",0.351,0.34,0.361,0.386,0.328,0.384,0.321,0.36,0.321,0.38,0.579,0.17,0.109,0.616,0.502,0.069,0.082,0.187,0.365,0.324
"Positivo",0.209,0.226,0.193,0.171,0.245,0.192,0.193,0.192,0.226,0.206,0.234,0.186,0.195,0.226,0.222,0.174,0.159,0.232,0.219,0.191
"Neutral",0.21,0.211,0.209,0.231,0.199,0.207,0.221,0.235,0.2,0.197,0.088,0.308,0.478,0.094,0.108,0.31,0.439,0.306,0.191,0.246
"Algo negativo",0.092,0.081,0.104,0.127,0.079,0.088,0.098,0.058,0.118,0.095,0.04,0.133,0.095,0.022,0.057,0.191,0.201,0.061,0.092,0.092
"Negativo",0.105,0.119,0.09,0.085,0.111,0.099,0.114,0.096,0.11,0.106,0.038,0.175,0.123,0.031,0.079,0.206,0.094,0.172,0.101,0.112
"No sabe",0.033,0.023,0.043,0,0.038,0.03,0.053,0.059,0.025,0.016,0.021,0.028,0,0.011,0.032,0.05,0.025,0.042,0.032,0.035
