"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Siempre",0.241,0.275,0.208,0.234,0.211,0.25,0.303,0.273,0.219,0.238,0.251,0.279,0.181,0.285,0.3,0.263,0.208,0.239,0.223,0.272
"Casi siempre",0.387,0.366,0.407,0.329,0.364,0.432,0.443,0.328,0.406,0.426,0.431,0.411,0.287,0.42,0.416,0.444,0.48,0.338,0.395,0.372
"Casi nunca",0.264,0.272,0.258,0.264,0.31,0.259,0.171,0.271,0.266,0.254,0.252,0.228,0.464,0.23,0.242,0.236,0.227,0.289,0.281,0.235
"Nunca, pero esta es una excepción",0.108,0.087,0.127,0.173,0.115,0.059,0.083,0.128,0.109,0.082,0.066,0.082,0.068,0.065,0.042,0.057,0.085,0.134,0.101,0.121
