"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.422,0.422,0.422,0.409,0.432,0.443,0.384,0.432,0.409,0.429,0.763,0.172,0.254,0.792,0.742,0.049,0.169,0.081,0.448,0.377
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.392,0.392,0.392,0.375,0.339,0.428,0.467,0.362,0.385,0.432,0.102,0.67,0.44,0.105,0.099,0.888,0.631,0.502,0.382,0.41
"En blanco",0.109,0.121,0.097,0.163,0.136,0.065,0.068,0.112,0.118,0.094,0.086,0.1,0.13,0.058,0.118,0.021,0.115,0.305,0.099,0.126
"No sabe",0.077,0.065,0.089,0.053,0.093,0.064,0.081,0.094,0.088,0.045,0.049,0.058,0.176,0.045,0.041,0.042,0.085,0.112,0.071,0.087
