"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy buena",0.134,0.159,0.11,0.2,0.113,0.125,0.127,0.155,0.137,0.109,0.232,0.062,0.177,0.25,0.169,0.019,0.038,0.128,0.144,0.117
"Buena",0.244,0.261,0.227,0.195,0.237,0.27,0.266,0.249,0.246,0.235,0.372,0.168,0.06,0.381,0.338,0.109,0.126,0.166,0.269,0.199
"Regular",0.338,0.303,0.373,0.345,0.327,0.305,0.399,0.29,0.337,0.391,0.255,0.407,0.204,0.244,0.318,0.434,0.392,0.375,0.312,0.384
"Mala",0.176,0.145,0.206,0.151,0.177,0.214,0.143,0.17,0.183,0.172,0.098,0.228,0.418,0.09,0.117,0.283,0.334,0.145,0.185,0.159
"Muy mala",0.108,0.132,0.084,0.109,0.146,0.086,0.065,0.136,0.097,0.093,0.043,0.135,0.141,0.035,0.058,0.155,0.11,0.186,0.09,0.141
