"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Fernando Moreira a intendente por Unión por la Patria.",0.396,0.394,0.398,0.313,0.352,0.471,0.464,0.42,0.346,0.453,0.642,0.506,0.304,0.134,0.056,0.406,0.398,0.381
"Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.295,0.265,0.323,0.256,0.27,0.316,0.355,0.265,0.336,0.262,0.109,0.171,0.549,0.688,0.316,0.304,0.327,0.251
"Hernán Sardella a intendente por la Libertad Avanza",0.244,0.28,0.212,0.279,0.331,0.176,0.134,0.273,0.244,0.211,0.211,0.223,0.123,0.148,0.609,0.22,0.215,0.304
"El candidato del Frente de Izquierda",0.041,0.037,0.044,0.129,0.022,0.026,0.009,0.006,0.057,0.053,0.031,0.077,0.004,0.023,0.01,0.045,0.038,0.039
"En blanco",0.024,0.024,0.023,0.023,0.025,0.011,0.038,0.036,0.017,0.021,0.007,0.023,0.02,0.007,0.009,0.025,0.022,0.025
