"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Axel Kicillof a gobernador por Unión por la Patria.",0.378,0.367,0.388,0.327,0.361,0.435,0.388,0.386,0.351,0.414,0.613,0.563,0.258,0.174,0.057,0.39,0.388,0.352
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.239,0.214,0.261,0.165,0.2,0.268,0.346,0.205,0.268,0.23,0.113,0.105,0.572,0.557,0.244,0.272,0.269,0.166
"Carolina Piparo a gobernadora por la Libertad Avanza",0.273,0.308,0.242,0.32,0.347,0.207,0.172,0.288,0.283,0.237,0.221,0.268,0.135,0.238,0.629,0.224,0.244,0.363
"El candidato a gobernador de la Izquierda",0.033,0.037,0.03,0.092,0.019,0.025,0.013,0.022,0.034,0.045,0.02,0.007,0.004,0.003,0.01,0.03,0.025,0.045
"En blanco",0.026,0.029,0.023,0.022,0.031,0.01,0.04,0.043,0.017,0.023,0.015,0.01,0.01,0.006,0.009,0.031,0.022,0.025
"No sabe",0.051,0.045,0.056,0.074,0.042,0.055,0.041,0.056,0.047,0.051,0.018,0.047,0.021,0.022,0.051,0.053,0.052,0.049
