"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Sergio Massa",0.45,0.428,0.469,0.349,0.506,0.456,0.441,0.499,0.445,0.402,0.712,0.725,0.085,0.115,0.111,0.446,0.465,0.437
"Patria Bullrich",0.237,0.24,0.234,0.08,0.202,0.309,0.373,0.262,0.24,0.201,0.084,0.069,0.631,0.579,0.147,0.235,0.253,0.221
"Javier Milei",0.169,0.186,0.155,0.33,0.17,0.114,0.073,0.152,0.17,0.189,0.051,0.115,0.077,0.201,0.669,0.152,0.16,0.201
"Myriam Bregman",0.078,0.076,0.079,0.097,0.082,0.082,0.046,0.061,0.056,0.135,0.091,0.071,0.064,0.045,0.034,0.083,0.063,0.089
"Juan Schiaretti",0.066,0.07,0.063,0.144,0.04,0.039,0.067,0.026,0.089,0.073,0.062,0.02,0.143,0.06,0.039,0.084,0.059,0.052
