"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Fernando Moreira a intendente por Unión por la Patria.",0.378,0.371,0.383,0.303,0.333,0.451,0.441,0.407,0.324,0.434,0.629,0.44,0.304,0.134,0.056,0.387,0.393,0.349
"Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.272,0.237,0.303,0.199,0.246,0.307,0.346,0.224,0.319,0.247,0.106,0.152,0.537,0.683,0.274,0.28,0.303,0.228
"Hernán Sardella a intendente por la Libertad Avanza",0.228,0.254,0.205,0.239,0.311,0.172,0.134,0.24,0.239,0.197,0.211,0.223,0.119,0.148,0.563,0.192,0.199,0.304
"El candidato del Frente de Izquierda",0.04,0.037,0.044,0.129,0.022,0.026,0.009,0.006,0.057,0.052,0.031,0.077,0.004,0.023,0.011,0.045,0.038,0.038
"En blanco",0.024,0.024,0.023,0.023,0.025,0.011,0.038,0.036,0.017,0.021,0.007,0.023,0.02,0.007,0.009,0.025,0.022,0.025
"No sabe",0.058,0.077,0.042,0.107,0.063,0.033,0.032,0.087,0.044,0.049,0.016,0.085,0.016,0.005,0.087,0.071,0.045,0.056
