"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Siempre",0.186,0.182,0.188,0.146,0.174,0.162,0.281,0.232,0.173,0.149,0.192,0.132,0.209,0.221,0.259,0.177,0.162,0.221
"Casi siempre",0.314,0.308,0.32,0.216,0.315,0.36,0.372,0.332,0.298,0.323,0.346,0.362,0.316,0.364,0.17,0.319,0.31,0.314
"Casi nunca",0.305,0.297,0.312,0.353,0.29,0.339,0.239,0.218,0.351,0.329,0.308,0.379,0.378,0.256,0.304,0.313,0.312,0.288
"Nunca, pero esta es una excepción",0.195,0.213,0.18,0.285,0.221,0.139,0.108,0.218,0.178,0.199,0.154,0.127,0.097,0.159,0.267,0.191,0.216,0.177
