"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.533,0.337,0.256
"P05","Bastante",0.291,0.274,0.447
"P05","Poco",0.134,0.229,0.177
"P05","Nada",0.031,0.16,0.12
"P05","No sabe",0.011,0,0
"P06","Siempre",0.187,0.075,0.039
"P06","Casi siempre",0.335,0.255,0.398
"P06","Casi nunca",0.321,0.297,0.383
"P06","Nunca, pero esta es una excepción",0.157,0.373,0.18
"P10","Unión por la Patria",0.421,0.236,0.369
"P10","Juntos por el Cambio",0.278,0.25,0.221
"P10","De los Liberales libertarios",0.186,0.145,0.012
"P10","De la Izquierda",0.04,0.085,0.052
"P10","Hacemos por nuestro país",0.029,0,0.207
"P10","En blanco",0.009,0.027,0.027
"P10","No sabe",0.037,0.257,0.112
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.395,0.277,0.078
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.257,0.126,0.282
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.284,0.205,0.446
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.029,0.079,0.052
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.018,0,0
"P13","En blanco",0.004,0.039,0.068
"P13","No sabe",0.013,0.274,0.074
"P16","Si",0.341,0.298,0.286
"P16","No",0.659,0.702,0.714
"P17","Sergio Massa a presidente por Unión por la Patria.",0.333,0.242,0.026
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.324,0.013,0.913
"P17","Javier Milei a presidente por la Libertad Avanza",0.277,0.284,0
"P17","Los candidatos a presidente de la Izquierda",0.022,0.285,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0,0
"P17","En blanco",0.005,0.049,0
"P17","No sabe",0.007,0.127,0.061
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.312,0.261,0.06
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.327,0.071,0.49
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.265,0.078,0.389
"P20","El candidato a gobernador de la Izquierda",0.038,0.285,0
"P20","En blanco",0.012,0.198,0
"P20","No sabe",0.046,0.107,0.061
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.286,0.702,0.026
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.426,0.113,0.501
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.126,0.039,0
"P23","El candidato del Frente de Izquierda",0.069,0,0.352
"P23","En blanco",0.018,0.019,0.06
"P23","No sabe",0.075,0.127,0.061
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.405,0.257,0.124
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.199,0.367,0.492
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.253,0.24,0.151
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.07,0.038,0.08
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.021,0.043,0.052
"P26","No sabe",0.052,0.055,0.101
"P27","Totalmente seguro.",0.788,0.196,0.153
"P27","Bastante seguro",0.131,0.301,0.113
"P27","Algo seguro",0.065,0.148,0.702
"P27","Para nada seguro",0.016,0.355,0.032
"P29","No estaba enterado del tema",0.18,0.106,0.071
"P29","Un tema de la vida privada de él",0.105,0.292,0
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.345,0.179,0.407
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.164,0.19,0.398
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.191,0.204,0.081
"P29","No sabe",0.015,0.029,0.043
"P30","Si",0.768,0.637,0.891
"P30","No",0.232,0.363,0.109
"P31","Sergio Massa",0.46,0.232,0.645
"P31","Patria Bullrich",0.24,0.238,0.1
"P31","Javier Milei",0.173,0.187,0
"P31","Myriam Bregman",0.071,0.183,0.073
"P31","Juan Schiaretti",0.056,0.16,0.182
"P32","Ha aumentado significativamente",0.127,0.084,0.036
"P32","Ha aumentado ligeramente",0.191,0.085,0.327
"P32","Se mantiene igual",0.269,0.184,0.39
"P32","Ha disminuido ligeramente",0.19,0.1,0
"P32","Ha disminuido significativamente",0.223,0.547,0.247
"P33","No, ninguna dificultad",0.339,0.163,0.079
"P33","Alguna dificultad ocasional",0.305,0.336,0.341
"P33","Sí, dificultades frecuentes",0.356,0.501,0.58
"P34","Sí, absolutamente",0.502,0.505,0.188
"P34","Sí, en cierta medida",0.306,0.286,0.733
"P34","No, en absoluto",0.192,0.209,0.079
"P35","Reducir la inflación",0.424,0.45,0.154
"P35","Implementar reformas fiscales",0.104,0.104,0.495
"P35","Establecer políticas de control de precios",0.165,0.107,0.112
"P35","Reducir el gasto público",0.257,0.332,0.205
"P35","Estimular la inversión extranjera",0.035,0.007,0
"P35","Aumentar los subsidios a los servicios públicos",0.015,0,0.034
"P36","Muy positiva",0.271,0.1,0.015
"P36","Positiva",0.19,0.1,0.17
"P36","Neutral",0.248,0.162,0.494
"P36","Algo negativa",0.095,0.23,0
"P36","Negativa",0.078,0.212,0
"P36","No sabe",0.118,0.196,0.321
"P37","Muy positiva",0.417,0.33,0
"P37","Positiva",0.193,0.228,0.226
"P37","Neutral",0.196,0.08,0.447
"P37","Algo negativa",0.094,0.077,0
"P37","Negativa",0.069,0.164,0
"P37","No sabe",0.031,0.121,0.327
