"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.672,0.487,0.484,0.36,0.593,0.372
"P05","Bastante",0.24,0.352,0.311,0.412,0.161,0.478
"P05","Poco",0.082,0.126,0.147,0.223,0.153,0.128
"P05","Nada",0.006,0.035,0.018,0.005,0.09,0.01
"P05","No sabe",0,0,0.04,0,0.003,0.012
"P06","Siempre",0.195,0.216,0.142,0.144,0.214,0.189
"P06","Casi siempre",0.419,0.341,0.331,0.375,0.329,0.328
"P06","Casi nunca",0.269,0.306,0.331,0.256,0.375,0.163
"P06","Nunca, pero esta es una excepción",0.117,0.137,0.196,0.225,0.082,0.32
"P10","Unión por la Patria",0.743,0.657,0.24,0.033,0.008,0.237
"P10","Juntos por el Cambio",0.111,0.144,0.443,0.415,0.438,0.4
"P10","De los Liberales libertarios",0.101,0.102,0.225,0.194,0.269,0.143
"P10","De la Izquierda",0.01,0.014,0.013,0.176,0.014,0.125
"P10","Hacemos por nuestro país",0.001,0.002,0.028,0.131,0.152,0
"P10","En blanco",0.006,0.004,0.026,0,0.013,0.006
"P10","No sabe",0.028,0.077,0.025,0.051,0.106,0.089
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.564,0.507,0.312,0.144,0.124,0.208
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.146,0.103,0.376,0.405,0.477,0.182
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.26,0.291,0.241,0.344,0.256,0.451
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.042,0.005,0.077,0.01,0.092
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.009,0.026,0.03,0.058,0
"P13","En blanco",0.004,0.015,0.01,0,0.01,0.006
"P13","No sabe",0.021,0.033,0.03,0,0.065,0.061
"P16","Si",0.29,0.226,0.371,0.453,0.261,0.538
"P16","No",0.71,0.774,0.629,0.547,0.739,0.462
"P17","Sergio Massa a presidente por Unión por la Patria.",0.633,0.524,0.166,0.071,0.141,0.077
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.109,0.233,0.369,0.452,0.683,0.291
"P17","Javier Milei a presidente por la Libertad Avanza",0.237,0.094,0.348,0.477,0.147,0.417
"P17","Los candidatos a presidente de la Izquierda",0.012,0.013,0,0,0,0.207
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.06,0.105,0,0,0
"P17","En blanco",0,0.007,0.004,0,0.02,0
"P17","No sabe",0.009,0.069,0.008,0,0.009,0.008
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.667,0.548,0.196,0.011,0.118,0.039
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.11,0.228,0.521,0.873,0.488,0.3
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.118,0.065,0.222,0.081,0.295,0.357
"P20","El candidato a gobernador de la Izquierda",0.015,0.045,0,0,0.005,0.296
"P20","En blanco",0.049,0.013,0.014,0.019,0.01,0
"P20","No sabe",0.041,0.101,0.047,0.016,0.084,0.008
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.577,0.568,0.206,0.054,0.064,0.445
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.054,0.218,0.592,0.885,0.509,0.229
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.096,0.051,0.174,0.054,0.191,0.096
"P23","El candidato del Frente de Izquierda",0.168,0.052,0,0,0.227,0
"P23","En blanco",0.043,0.032,0.007,0,0,0.024
"P23","No sabe",0.062,0.079,0.021,0.007,0.009,0.206
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.201,0.203,0.522,0.657,0.647,0.394
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.184,0.182,0.243,0.297,0.207,0.323
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.473,0.364,0.18,0.006,0.097,0.123
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.07,0.154,0.019,0.026,0.02,0.078
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.036,0.049,0.009,0,0,0
"P26","No sabe",0.036,0.048,0.027,0.014,0.029,0.082
"P27","Totalmente seguro.",0.821,0.787,0.702,0.769,0.73,0.43
"P27","Bastante seguro",0.123,0.136,0.139,0.069,0.161,0.311
"P27","Algo seguro",0.031,0.045,0.101,0.162,0.097,0.22
"P27","Para nada seguro",0.025,0.032,0.058,0,0.012,0.039
"P28","Tiene Decidido que va a ir a votar.",0.971,0.946,0.935,0.899,0.867,0.767
"P28","Tiene dudas sobre si va a ir a  votar",0.025,0.05,0.051,0.004,0.106,0.135
"P28","Tiene Decidido que no va a ir a votar",0.004,0.004,0.014,0.097,0.027,0.098
"P29","No estaba enterado del tema",0.264,0.116,0.212,0.079,0.148,0.131
"P29","Un tema de la vida privada de él",0.158,0.094,0.054,0.02,0.022,0.105
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.488,0.528,0.227,0.103,0.081,0.329
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.05,0.121,0.241,0.31,0.276,0.125
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.032,0.111,0.238,0.488,0.473,0.245
"P29","No sabe",0.008,0.03,0.028,0,0,0.065
