"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P05","Mucho",0.524,0.451,0.573
"P05","Bastante",0.289,0.348,0.222
"P05","Poco",0.131,0.141,0.172
"P05","Nada",0.041,0.054,0.032
"P05","No sabe",0.015,0.006,0.001
"P06","Siempre",0.179,0.142,0.195
"P06","Casi siempre",0.33,0.361,0.297
"P06","Casi nunca",0.314,0.32,0.333
"P06","Nunca, pero esta es una excepción",0.177,0.177,0.175
"P10","Unión por la Patria",0.608,0.289,0.059
"P10","Juntos por el Cambio",0.16,0.395,0.432
"P10","De los Liberales libertarios",0.114,0.181,0.332
"P10","De la Izquierda",0.044,0.028,0.044
"P10","Hacemos por nuestro país",0.016,0.051,0.053
"P10","En blanco",0.005,0.017,0.019
"P10","No sabe",0.053,0.039,0.061
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.473,0.398,0.147
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.17,0.243,0.42
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.269,0.291,0.319
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.041,0.014,0.041
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.022,0.02,0
"P13","En blanco",0.006,0.007,0.019
"P13","No sabe",0.019,0.027,0.054
"P16","Si",0.28,0.377,0.329
"P16","No",0.72,0.623,0.671
"P17","Sergio Massa a presidente por Unión por la Patria.",0.484,0.147,0.225
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.189,0.36,0.575
"P17","Javier Milei a presidente por la Libertad Avanza",0.179,0.467,0.158
"P17","Los candidatos a presidente de la Izquierda",0.064,0.01,0.007
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.069,0.003,0.006
"P17","En blanco",0.007,0,0.005
"P17","No sabe",0.008,0.013,0.024
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.509,0.155,0.141
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.144,0.538,0.491
