"var","categoria","Fernando Moreira a intendente por Unión por la Patria.","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco"
"P05","Mucho",0.399,0.389,0.659,0.472,0.625
"P05","Bastante",0.334,0.3,0.201,0.176,0.244
"P05","Poco",0.221,0.234,0.132,0.352,0.131
"P05","Nada",0.044,0.067,0,0,0
"P05","No sabe",0.002,0.01,0.008,0,0
"P06","Siempre",0.102,0.23,0.058,0.018,0
"P06","Casi siempre",0.405,0.255,0.378,0.205,0.437
"P06","Casi nunca",0.364,0.372,0.341,0.72,0.521
"P06","Nunca, pero esta es una excepción",0.129,0.143,0.223,0.057,0.042
"P10","Unión por la Patria",0.486,0.1,0.221,0.577,0.644
"P10","Juntos por el Cambio",0.158,0.574,0.212,0.144,0.206
"P10","De los Liberales libertarios",0.181,0.167,0.42,0.007,0
"P10","De la Izquierda",0.092,0.026,0.008,0.244,0
"P10","Hacemos por nuestro país",0.003,0.012,0.007,0,0
"P10","En blanco",0.01,0.038,0,0,0.15
"P10","No sabe",0.07,0.083,0.132,0.028,0
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.261,0.536,0.541,0.002,0.404
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.096,0.192,0.223,0.012,0.133
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.389,0.163,0.126,0.478,0.135
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.137,0.053,0,0.398,0
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.022,0.011,0,0.087,0.328
"P26","No sabe",0.095,0.045,0.11,0.023,0
"P27","Totalmente seguro.",0.71,0.645,0.747,0.371,0.655
"P27","Bastante seguro",0.135,0.165,0.253,0.529,0.055
"P27","Algo seguro",0.101,0.168,0,0.1,0.085
"P27","Para nada seguro",0.054,0.022,0,0,0.205
"P28","Tiene Decidido que va a ir a votar.",0.873,0.94,0.986,0.867,0.857
"P28","Tiene dudas sobre si va a ir a  votar",0.12,0.028,0.014,0,0.056
"P28","Tiene Decidido que no va a ir a votar",0.007,0.032,0,0.133,0.087
"P29","No estaba enterado del tema",0.278,0.108,0.505,0.16,0
"P29","Un tema de la vida privada de él",0.177,0.048,0.143,0.245,0.243
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.314,0.245,0.122,0.385,0.421
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.143,0.244,0.139,0.132,0.336
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.068,0.351,0.091,0.078,0
"P29","No sabe",0.02,0.004,0,0,0
"P30","Si",0.767,0.847,0.775,0.731,0.796
"P30","No",0.233,0.153,0.225,0.269,0.204
"P31","Sergio Massa",0.485,0.235,0.394,0.713,0.463
"P31","Patria Bullrich",0.137,0.505,0.241,0,0
"P31","Javier Milei",0.147,0.14,0.283,0.008,0.2
"P31","Myriam Bregman",0.146,0.028,0.082,0.139,0
"P31","Juan Schiaretti",0.085,0.092,0,0.14,0.337
"P32","Ha aumentado significativamente",0.15,0.035,0.164,0.255,0.046
"P32","Ha aumentado ligeramente",0.138,0.102,0.134,0.049,0.536
"P32","Se mantiene igual",0.395,0.173,0.269,0.049,0.094
"P32","Ha disminuido ligeramente",0.137,0.338,0.07,0.046,0.255
"P32","Ha disminuido significativamente",0.18,0.352,0.363,0.601,0.069
"P33","No, ninguna dificultad",0.339,0.147,0.251,0.691,0.339
"P33","Alguna dificultad ocasional",0.314,0.316,0.252,0.006,0.475
"P33","Sí, dificultades frecuentes",0.347,0.537,0.497,0.303,0.186
"P34","Sí, absolutamente",0.613,0.256,0.232,0.769,0.575
"P34","Sí, en cierta medida",0.291,0.468,0.467,0.231,0.312
"P34","No, en absoluto",0.096,0.276,0.301,0,0.113
"P35","Reducir la inflación",0.494,0.475,0.236,0.472,0.265
"P35","Implementar reformas fiscales",0.053,0.063,0.211,0,0
"P35","Establecer políticas de control de precios",0.264,0.135,0.088,0.288,0.377
"P35","Reducir el gasto público",0.146,0.295,0.427,0.24,0.358
"P35","Estimular la inversión extranjera",0.038,0.032,0.014,0,0
"P35","Aumentar los subsidios a los servicios públicos",0.005,0,0.024,0,0
"P36","Muy positiva",0.291,0.164,0.03,0.398,0.333
"P36","Positiva",0.172,0.223,0,0.425,0.36
"P36","Neutral",0.228,0.346,0.441,0.023,0.268
"P36","Algo negativa",0.072,0.101,0.266,0.154,0
"P36","Negativa",0.048,0.046,0.018,0,0
"P36","No sabe",0.189,0.12,0.245,0,0.039
"P37","Muy positiva",0.569,0.147,0.026,0.529,0.451
