"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P32","Ha disminuido ligeramente",0.171,0.163,0.179,0.227,0.193,0.111
"P32","Ha disminuido significativamente",0.218,0.15,0.091,0.379,0.345,0.117
"P33","No, ninguna dificultad",0.337,0.261,0.442,0.207,0.376,0.607
"P33","Alguna dificultad ocasional",0.304,0.46,0.291,0.286,0.381,0.193
"P33","Sí, dificultades frecuentes",0.359,0.279,0.267,0.507,0.243,0.2
"P34","Sí, absolutamente",0.643,0.211,0.627,0.293,0.349,0.8
"P34","Sí, en cierta medida",0.251,0.661,0.213,0.322,0.499,0.083
"P34","No, en absoluto",0.106,0.128,0.16,0.385,0.152,0.117
"P36","Muy positiva",0.399,0.118,0.314,0.065,0.186,0.027
"P36","Positiva",0.177,0.319,0.197,0.123,0.126,0.46
"P36","Neutral",0.18,0.233,0.27,0.357,0.328,0.084
"P36","Algo negativa",0.07,0.051,0.044,0.215,0.052,0
"P36","Negativa",0.045,0.099,0.032,0.152,0.264,0.028
"P36","No sabe",0.129,0.18,0.143,0.088,0.044,0.401
"P37","Muy positiva",0.475,0.321,0.634,0.16,0.334,0.814
"P37","Positiva",0.23,0.156,0.117,0.21,0.268,0
"P37","Neutral",0.164,0.21,0.173,0.245,0.356,0
"P37","Algo negativa",0.042,0.093,0.06,0.2,0.034,0
"P37","Negativa",0.05,0.126,0,0.137,0.008,0.119
"P37","No sabe",0.039,0.094,0.016,0.048,0,0.067
"P38","Muy positiva",0.352,0.106,0.378,0.064,0.152,0.881
"P38","Positiva",0.201,0.361,0.293,0.069,0.2,0
"P38","Neutral",0.204,0.13,0.268,0.449,0.271,0
"P38","Algo negativa",0.07,0.069,0.015,0.112,0.127,0.09
"P38","Negativa",0.088,0.148,0.043,0.243,0.224,0.029
"P38","No sabe",0.085,0.186,0.003,0.063,0.026,0
"P39","Muy positiva",0.499,0.372,0.543,0.324,0.393,0.273
"P39","Positiva",0.22,0.149,0.172,0.221,0.056,0.544
"P39","Neutral",0.13,0.217,0.224,0.218,0.267,0
"P39","Algo negativa",0.078,0.087,0.026,0.129,0.092,0.088
"P39","Negativa",0.055,0.083,0.026,0.095,0.159,0.095
"P39","No sabe",0.018,0.092,0.009,0.013,0.033,0
"P40","Muy positiva",0.436,0.337,0.502,0.199,0.29,0.27
"P40","Positiva",0.229,0.181,0.189,0.169,0.3,0.551
"P40","Neutral",0.146,0.205,0.179,0.358,0.206,0.087
"P40","Algo negativa",0.068,0.076,0.031,0.17,0.017,0.028
"P40","Negativa",0.051,0.061,0.029,0.067,0.187,0.064
"P40","No sabe",0.07,0.14,0.07,0.037,0,0
"P41","Lo votaría",0.536,0.388,0.72,0.056,0.236,0.858
"P41","Puede que lo vote",0.061,0.224,0.042,0.054,0.058,0.027
"P41","Nunca lo votaría",0.375,0.314,0.223,0.868,0.666,0.115
"P41","No sabe",0.028,0.074,0.015,0.022,0.04,0
"P42","Lo votaría",0.299,0.238,0.133,0.418,0.436,0.156
"P42","Puede que lo vote",0.126,0.104,0.077,0.187,0.076,0
"P42","Nunca lo votaría",0.545,0.58,0.77,0.36,0.433,0.844
"P42","No sabe",0.03,0.078,0.02,0.035,0.055,0
"P43","Lo votaría",0.165,0.293,0.092,0.435,0.071,0.116
"P43","Puede que lo vote",0.087,0.082,0.099,0.18,0.378,0
"P43","Nunca lo votaría",0.709,0.617,0.809,0.35,0.551,0.884
"P43","No sabe",0.039,0.008,0,0.035,0,0
"P44","Si",0.388,0.257,0.555,0.391,0.358,0.633
"P44","No",0.612,0.743,0.445,0.609,0.642,0.367
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.405,0.431,0.642,0.143,0.362,0.797
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.241,0.081,0.078,0.411,0.403,0
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.268,0.383,0.252,0.351,0.088,0.112
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.044,0.073,0.003,0.005,0,0.028
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.011,0.01,0.042,0.147,0
"PRESIDENTE","En blanco",0.007,0.004,0.01,0.003,0,0
"PRESIDENTE","No sabe",0.02,0.017,0.005,0.045,0,0.063
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.419,0.441,0.571,0.152,0.33,0.797
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.231,0.047,0.145,0.446,0.385,0
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.239,0.4,0.222,0.312,0.079,0.112
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.056,0.071,0.006,0.017,0.016,0.028
"GOBERNADOR","En blanco",0.017,0.014,0.041,0.026,0.154,0
"GOBERNADOR","No sabe",0.038,0.027,0.015,0.047,0.036,0.063
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.435,0.416,0.562,0.151,0.361,0.797
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.261,0.1,0.138,0.438,0.422,0
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.191,0.335,0.21,0.321,0.07,0.112
"INTENDENTE","El candidato del Frente de Izquierda",0.062,0.059,0.054,0.018,0,0.028
"INTENDENTE","En blanco",0.021,0.014,0.02,0.027,0.147,0
"INTENDENTE","No sabe",0.03,0.076,0.016,0.045,0,0.063
"CORTA_PRESIDENTE","Si",0.162,0.033,0.18,0.153,0.165,0.083
"CORTA_PRESIDENTE","No",0.838,0.967,0.82,0.847,0.835,0.917
"CORTA_GOBERNADOR","Si",0.168,0.085,0.167,0.128,0.17,0.083
"CORTA_GOBERNADOR","No",0.832,0.915,0.833,0.872,0.83,0.917
"CORTA_INTENDENTE","Si",0.223,0.134,0.207,0.179,0.129,0.083
"CORTA_INTENDENTE","No",0.777,0.866,0.793,0.821,0.871,0.917
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.428,0.434,0.561,0.196,0.358,0.86
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.252,0.065,0.123,0.421,0.385,0.083
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.246,0.407,0.3,0.352,0.11,0.029
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.053,0.073,0.006,0.004,0,0.028
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.014,0,0.018,0.147,0
"P13_imputada","En blanco",0.007,0.007,0.01,0.009,0,0
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.251,0.265,0.686,0.137,0.479,0
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.371,0.315,0.078,0.466,0.366,0.331
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.308,0.348,0.196,0.298,0.155,0.669
"P17_imputada","Los candidatos a presidente de la Izquierda",0.059,0.072,0.007,0,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.006,0,0.029,0.095,0,0
"P17_imputada","En blanco",0.005,0,0.004,0.004,0,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.293,0.379,0.518,0.17,0.322,0.331
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.371,0.163,0.284,0.571,0.375,0
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.249,0.415,0.097,0.188,0.248,0.669
"P20_imputada","El candidato a gobernador de la Izquierda",0.083,0.043,0.011,0.051,0.036,0
"P20_imputada","En blanco",0.004,0,0.09,0.02,0.019,0
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.372,0.24,0.465,0.189,0.459,0.331
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.441,0.352,0.293,0.467,0.471,0
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.075,0.408,0.065,0.233,0.07,0.669
"P23_imputada","El candidato del Frente de Izquierda",0.102,0,0.145,0.089,0,0
"P23_imputada","En blanco",0.01,0,0.032,0.022,0,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.413,0.435,0.644,0.155,0.362,0.797
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.242,0.091,0.078,0.443,0.403,0.063
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.278,0.383,0.255,0.351,0.088,0.112
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.044,0.077,0.003,0.005,0,0.028
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.016,0.01,0.01,0.042,0.147,0
"PRESIDENTE_imputada","En blanco",0.007,0.004,0.01,0.004,0,0
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.429,0.445,0.571,0.166,0.33,0.86
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.245,0.064,0.159,0.479,0.385,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.251,0.406,0.223,0.312,0.115,0.112
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.056,0.071,0.006,0.017,0.016,0.028
"GOBERNADOR_imputada","En blanco",0.019,0.014,0.041,0.026,0.154,0
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.45,0.423,0.564,0.163,0.361,0.86
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.268,0.113,0.151,0.468,0.422,0
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.199,0.391,0.21,0.323,0.07,0.112
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.062,0.059,0.054,0.019,0,0.028
"INTENDENTE_imputada","En blanco",0.021,0.014,0.021,0.027,0.147,0
