"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Si",0.184,0.187,0.181,0.146,0.206,0.181,0.181,0.157,0.198,0.19,0.166,0.127,0.232,0.207,0.051,0.208,0.179,0.161
"No",0.816,0.813,0.819,0.854,0.794,0.819,0.819,0.843,0.802,0.81,0.834,0.873,0.768,0.793,0.949,0.792,0.821,0.839
