"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Si",0.763,0.764,0.763,0.801,0.728,0.81,0.735,0.704,0.755,0.846,0.756,0.736,0.77,0.831,0.797,0.756,0.762,0.774
"No",0.237,0.236,0.237,0.199,0.272,0.19,0.265,0.296,0.245,0.154,0.244,0.264,0.23,0.169,0.203,0.244,0.238,0.226
