"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.601,0.499,0.522,0.411,0.465,0.494
"P05","Bastante",0.295,0.367,0.24,0.373,0.159,0.266
"P05","Poco",0.095,0.117,0.158,0.216,0.223,0.159
"P05","Nada",0.006,0.017,0.038,0,0.153,0.049
"P05","No sabe",0.003,0,0.042,0,0,0.032
"P06","Siempre",0.215,0.201,0.168,0.129,0.149,0.112
"P06","Casi siempre",0.399,0.34,0.298,0.277,0.351,0.437
"P06","Casi nunca",0.271,0.339,0.297,0.489,0.324,0.127
"P06","Nunca, pero esta es una excepción",0.115,0.12,0.237,0.105,0.176,0.324
"P10","Unión por la Patria",0.652,0.359,0.246,0.251,0.062,0.3
"P10","Juntos por el Cambio",0.134,0.36,0.327,0.538,0.446,0.349
"P10","De los Liberales libertarios",0.122,0.116,0.278,0.179,0.14,0.194
"P10","De la Izquierda",0.039,0.012,0.039,0.016,0.073,0.03
"P10","Hacemos por nuestro país",0.029,0.057,0.055,0,0.086,0
"P10","En blanco",0.005,0.01,0.028,0,0.022,0.008
"P10","No sabe",0.019,0.086,0.027,0.016,0.171,0.119
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.474,0.343,0.359,0.224,0.144,0.303
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.137,0.338,0.27,0.495,0.401,0.187
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.34,0.237,0.306,0.176,0.129,0.4
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.004,0.008,0.105,0.065,0.03
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.018,0.034,0,0.086,0
"P13","En blanco",0.004,0.017,0.01,0,0.023,0
"P13","No sabe",0.022,0.043,0.013,0,0.152,0.08
"P16","Si",0.268,0.311,0.34,0.423,0.383,0.437
"P16","No",0.732,0.689,0.66,0.577,0.617,0.563
"P17","Sergio Massa a presidente por Unión por la Patria.",0.5,0.241,0.177,0.216,0.22,0.169
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.17,0.318,0.324,0.774,0.374,0.141
"P17","Javier Milei a presidente por la Libertad Avanza",0.21,0.368,0.34,0.01,0.348,0.661
"P17","Los candidatos a presidente de la Izquierda",0.107,0.008,0.006,0,0,0
