"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.555,0.506,0.582,0.27,0.638,0.483
"P05","Bastante",0.315,0.328,0.226,0.41,0.162,0.327
"P05","Poco",0.104,0.148,0.137,0.27,0.09,0.173
"P05","Nada",0.014,0.014,0.025,0.05,0.11,0.017
"P05","No sabe",0.012,0.004,0.03,0,0,0
"P06","Siempre",0.229,0.201,0.128,0.088,0.168,0.05
"P06","Casi siempre",0.368,0.305,0.354,0.446,0.371,0.32
"P06","Casi nunca",0.289,0.309,0.314,0.301,0.366,0.177
"P06","Nunca, pero esta es una excepción",0.114,0.185,0.204,0.165,0.095,0.453
"P10","Unión por la Patria",0.571,0.415,0.297,0.111,0.021,0.446
"P10","Juntos por el Cambio",0.149,0.241,0.391,0.68,0.599,0.306
"P10","De los Liberales libertarios",0.182,0.162,0.169,0.083,0.234,0.023
"P10","De la Izquierda",0.015,0.082,0.022,0,0.057,0.079
"P10","Hacemos por nuestro país",0.023,0.025,0.062,0.088,0.073,0
"P10","En blanco",0.008,0.034,0.003,0,0,0.019
"P10","No sabe",0.052,0.041,0.056,0.038,0.016,0.127
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.445,0.403,0.328,0.232,0.146,0.238
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.199,0.128,0.352,0.489,0.518,0.251
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.291,0.364,0.212,0.257,0.196,0.393
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.038,0.052,0,0.007,0.079
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.031,0.014,0,0.111,0
"P13","En blanco",0.011,0.012,0,0.008,0,0.019
"P13","No sabe",0.041,0.024,0.042,0.014,0.022,0.02
"P16","Si",0.289,0.325,0.337,0.437,0.373,0.385
"P16","No",0.711,0.675,0.663,0.563,0.627,0.615
"P17","Sergio Massa a presidente por Unión por la Patria.",0.455,0.194,0.182,0.075,0.198,0.579
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.162,0.284,0.336,0.853,0.349,0.235
"P17","Javier Milei a presidente por la Libertad Avanza",0.349,0.305,0.318,0.051,0.409,0.141
"P17","Los candidatos a presidente de la Izquierda",0.011,0.171,0,0,0.017,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.005,0.144,0.012,0,0
"P17","En blanco",0.006,0.012,0,0,0,0
"P17","No sabe",0.003,0.029,0.02,0.009,0.027,0.045
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.477,0.262,0.197,0.04,0.14,0.194
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.252,0.353,0.524,0.757,0.244,0.572
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.178,0.151,0.133,0.182,0.537,0.189
"P20","El candidato a gobernador de la Izquierda",0.055,0.182,0,0,0.006,0
"P20","En blanco",0.005,0.009,0.072,0.012,0,0
"P20","No sabe",0.033,0.043,0.074,0.009,0.073,0.045
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.431,0.428,0.363,0.012,0.074,0.499
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.251,0.315,0.42,0.707,0.642,0.456
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.084,0.154,0.181,0.036,0.25,0
"P23","El candidato del Frente de Izquierda",0.093,0.046,0,0.202,0.007,0
"P23","En blanco",0.033,0.038,0,0,0,0
"P23","No sabe",0.108,0.019,0.036,0.043,0.027,0.045
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.314,0.325,0.461,0.519,0.742,0.285
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.203,0.217,0.232,0.335,0.098,0.477
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.362,0.256,0.197,0.105,0.134,0.063
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.053,0.108,0.073,0.035,0,0.136
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.025,0.039,0.015,0,0,0
"P26","No sabe",0.043,0.055,0.022,0.006,0.026,0.039
"P27","Totalmente seguro.",0.791,0.698,0.706,0.631,0.783,0.617
"P27","Bastante seguro",0.145,0.188,0.178,0.091,0.049,0.076
"P27","Algo seguro",0.044,0.108,0.05,0.226,0.107,0.307
"P27","Para nada seguro",0.02,0.006,0.066,0.052,0.061,0
"P28","Tiene Decidido que va a ir a votar.",0.95,0.922,0.935,0.842,0.944,0.617
"P28","Tiene dudas sobre si va a ir a  votar",0.046,0.071,0.057,0.027,0.04,0.076
"P28","Tiene Decidido que no va a ir a votar",0.004,0.007,0.008,0.131,0.016,0.307
"P29","No estaba enterado del tema",0.246,0.122,0.179,0.059,0.177,0.061
"P29","Un tema de la vida privada de él",0.123,0.085,0.046,0.024,0.021,0.063
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.397,0.342,0.319,0.214,0.085,0.33
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.068,0.221,0.199,0.426,0.256,0.09
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.155,0.223,0.215,0.26,0.445,0.272
"P29","No sabe",0.011,0.007,0.042,0.017,0.016,0.184
"P30","Si",0.818,0.829,0.772,0.855,0.737,0.92
"P30","No",0.182,0.171,0.228,0.145,0.263,0.08
"P31","Sergio Massa",0.599,0.333,0.28,0.227,0.29,0.414
"P31","Patria Bullrich",0.103,0.226,0.405,0.438,0.396,0.268
"P31","Javier Milei",0.207,0.274,0.097,0.119,0.28,0.023
"P31","Myriam Bregman",0.055,0.112,0.121,0.024,0,0.155
"P31","Juan Schiaretti",0.036,0.055,0.097,0.192,0.034,0.14
"P32","Ha aumentado significativamente",0.155,0.066,0.088,0,0.139,0.108
"P32","Ha aumentado ligeramente",0.173,0.23,0.24,0.167,0.061,0.368
"P32","Se mantiene igual",0.3,0.384,0.192,0.146,0.095,0.174
"P32","Ha disminuido ligeramente",0.173,0.141,0.272,0.438,0.095,0.103
"P32","Ha disminuido significativamente",0.199,0.179,0.208,0.249,0.61,0.247
"P33","No, ninguna dificultad",0.466,0.28,0.165,0.088,0.174,0.263
"P33","Alguna dificultad ocasional",0.248,0.417,0.464,0.177,0.281,0.52
"P33","Sí, dificultades frecuentes",0.286,0.303,0.371,0.735,0.545,0.217
"P34","Sí, absolutamente",0.621,0.484,0.35,0.329,0.226,0.066
"P34","Sí, en cierta medida",0.247,0.347,0.417,0.317,0.327,0.573
"P34","No, en absoluto",0.132,0.169,0.233,0.354,0.447,0.361
"P35","Reducir la inflación",0.469,0.444,0.296,0.382,0.333,0.315
"P35","Implementar reformas fiscales",0.095,0.082,0.134,0.115,0.136,0.426
"P35","Establecer políticas de control de precios",0.203,0.139,0.204,0.051,0.064,0.063
"P35","Reducir el gasto público",0.192,0.283,0.315,0.398,0.364,0.148
"P35","Estimular la inversión extranjera",0.031,0.009,0.051,0.037,0.08,0.048
"P35","Aumentar los subsidios a los servicios públicos",0.01,0.043,0,0.017,0.023,0
"P36","Muy positiva",0.447,0.182,0.065,0.056,0.11,0.063
"P36","Positiva",0.196,0.259,0.171,0.112,0.046,0.076
"P36","Neutral",0.175,0.216,0.38,0.501,0.227,0.207
"P36","Algo negativa",0.029,0.123,0.182,0.227,0.062,0
"P36","Negativa",0.038,0.056,0.105,0.053,0.447,0.042
"P36","No sabe",0.115,0.164,0.097,0.051,0.108,0.612
"P37","Muy positiva",0.666,0.358,0.165,0.139,0.04,0.247
"P37","Positiva",0.111,0.33,0.21,0.243,0.229,0.08
