"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Si",0.212,0.217,0.208,0.232,0.2,0.201,0.231,0.185,0.22,0.23,0.17,0.207,0.229,0.316,0.05,0.222,0.204,0.21
"No",0.788,0.783,0.792,0.768,0.8,0.799,0.769,0.815,0.78,0.77,0.83,0.793,0.771,0.684,0.95,0.778,0.796,0.79
