"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.081,0.061,0.1,0.031,0.083,0.102,0.107,0.105,0.068,0.071,0.073,0.095
"Patricia Bullrich por Juntos por el Cambio",0.221,0.204,0.237,0.102,0.154,0.309,0.389,0.236,0.213,0.217,0.231,0.202
"Facundo Manes por Juntos por el Cambio",0.032,0.03,0.034,0.028,0.042,0.024,0.028,0.011,0.02,0.076,0.024,0.047
"Alberto Fernández por el Frente de Todos",0.07,0.055,0.083,0.105,0.086,0.034,0.041,0.082,0.087,0.027,0.07,0.069
"Sergio Massa por el Frente de Todos",0.078,0.078,0.079,0.123,0.075,0.05,0.07,0.069,0.074,0.098,0.067,0.101
"Wado de Pedro por el Frente de Todos",0.118,0.124,0.113,0.108,0.12,0.127,0.115,0.107,0.108,0.147,0.122,0.111
"Daniel Scioli por el Frente de Todos",0.066,0.07,0.063,0.04,0.072,0.081,0.066,0.076,0.073,0.045,0.069,0.062
"Javier Milei por los liberales libertarios",0.185,0.24,0.132,0.32,0.204,0.129,0.053,0.139,0.207,0.204,0.19,0.174
"Al candidato del Frente de Izquierda",0.029,0.015,0.043,0.065,0.024,0.017,0.012,0.009,0.044,0.03,0.027,0.033
"No sabe",0.12,0.123,0.116,0.078,0.14,0.127,0.119,0.166,0.106,0.085,0.127,0.106
