"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Si, es una vivienda alquilada",0.267,0.322,0.216,0.352,0.306,0.205,0.175,0.349,0.221,0.244,0.241,0.319
"No, no es una vivienda alquilada",0.733,0.678,0.784,0.648,0.694,0.795,0.825,0.651,0.779,0.756,0.759,0.681
