"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Mejor que la ley anterior",0.083,0.087,0.08,0.1,0.086,0.073,0.074,0.116,0.056,0.088,0.054,0.14
"Igual que la ley anterior",0.187,0.224,0.152,0.256,0.198,0.114,0.183,0.212,0.179,0.17,0.194,0.173
"Peor que la ley anterior",0.383,0.398,0.368,0.354,0.345,0.473,0.372,0.327,0.386,0.44,0.389,0.37
"No sabe",0.347,0.291,0.4,0.29,0.371,0.34,0.371,0.345,0.379,0.302,0.363,0.317
