"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Los inquilinos",0.238,0.261,0.214,0.241,0.233,0.262,0.21,0.276,0.239,0.191,0.241,0.231
"Los propietarios",0.08,0.088,0.073,0.114,0.092,0.031,0.085,0.067,0.093,0.075,0.088,0.065
"A ambos, propietarios e inquilinos",0.296,0.297,0.295,0.227,0.29,0.343,0.323,0.268,0.275,0.36,0.287,0.315
"A ninguno",0.182,0.195,0.169,0.234,0.173,0.178,0.147,0.178,0.169,0.206,0.191,0.163
"No sabe",0.204,0.159,0.249,0.184,0.212,0.186,0.235,0.211,0.224,0.168,0.193,0.226
