"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.463,0.411,0.366
"P04","Realizo changas o trabajos de vez en cuando",0.176,0.18,0.234
"P04","No tengo trabajo",0.154,0.156,0.248
"P04","Soy jubilado o pensionado",0.207,0.253,0.152
"P05","1",0.17,0.388,0.324
"P05","2",0.054,0.07,0.063
"P05","3",0.02,0.091,0.114
"P05","4",0.047,0.096,0.057
"P05","5",0.144,0.2,0.226
"P05","6",0.068,0.039,0.03
"P05","7",0.135,0.026,0.029
"P05","8",0.088,0.024,0.032
"P05","9",0.274,0.066,0.125
"P06","1",0.452,0.17,0.189
"P06","2",0.078,0.041,0.033
"P06","3",0.05,0.023,0.029
"P06","4",0.059,0.036,0.027
"P06","5",0.176,0.19,0.24
"P06","6",0.022,0.064,0.04
"P06","7",0.022,0.08,0.069
"P06","8",0.028,0.083,0.074
"P06","9",0.113,0.313,0.299
"P07","1",0.613,0.251,0.267
"P07","2",0.03,0.04,0.023
"P07","3",0.034,0.033,0.021
"P07","4",0.014,0.022,0.03
"P07","5",0.066,0.125,0.11
"P07","6",0.009,0.022,0.042
"P07","7",0.025,0.055,0.03
"P07","8",0.013,0.052,0.062
"P07","9",0.196,0.4,0.415
"P09","Del Frente de Todos y el peronismo",0.802,0.031,0.075
"P09","De Cambiemos",0.038,0.62,0.201
"P09","De los Liberales libertarios",0.025,0.214,0.351
"P09","De la Izquierda",0.028,0.011,0.05
"P09","No sabe",0.107,0.124,0.323
"P10","A Alberto Fernández",0.17,0.195,0.273
"P10","A Sergio Massa",0.195,0.202,0.32
"P10","A algún candidato del peronismo",0.131,0.475,0.33
"P10","A algún candidato del kirchnerismo",0.504,0.128,0.077
"P11","A Alberto Fernández",0.126,0.057,0.231
"P11","A Sergio Massa",0.135,0.24,0.325
"P11","A algún candidato del peronismo",0.045,0.623,0.345
"P11","A Cristina Fernández de Kirchner",0.694,0.08,0.099
"P12","A Horacio Rodriguez Larreta",0.301,0.232,0.072
"P12","A Mauricio Macri",0.274,0.36,0.437
"P12","A Patricia Bullrich",0.043,0.336,0.41
"P12","A Facundo Manes",0.29,0.057,0.065
"P12","A Gerardo Morales",0.092,0.015,0.016
"P13","Seguro lo votaria",0.157,0.213,0.114
"P13","Quizás lo votaría",0.29,0.302,0.308
"P13","Nunca lo votaría",0.553,0.485,0.578
"P14","Lo votaría",0.025,0.451,0.174
"P14","Puede que lo vote",0.039,0.287,0.239
"P14","Nunca lo votaría",0.87,0.199,0.433
"P14","No sabe",0.066,0.063,0.154
"P15","Lo votaría",0.314,0.061,0.061
"P15","Puede que lo vote",0.375,0.07,0.124
"P15","Nunca lo votaría",0.21,0.824,0.729
"P15","No sabe",0.101,0.045,0.086
"P16","Lo votaría",0.267,0.007,0.056
"P16","Puede que lo vote",0.396,0.023,0.081
"P16","Nunca lo votaría",0.248,0.953,0.787
