"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.454,0.415,0.398
"P04","Realizo changas o trabajos de vez en cuando",0.171,0.174,0.225
"P04","No tengo trabajo",0.168,0.151,0.223
"P04","Soy jubilado o pensionado",0.207,0.26,0.154
"P05","1",0.176,0.382,0.312
"P05","2",0.058,0.074,0.058
"P05","3",0.026,0.096,0.096
"P05","4",0.058,0.1,0.046
"P05","5",0.157,0.2,0.197
"P05","6",0.066,0.03,0.05
"P05","7",0.12,0.028,0.053
"P05","8",0.093,0.026,0.034
"P05","9",0.246,0.064,0.154
"P06","1",0.436,0.16,0.23
"P06","2",0.09,0.043,0.028
"P06","3",0.047,0.018,0.037
"P06","4",0.049,0.037,0.044
"P06","5",0.193,0.191,0.212
"P06","6",0.02,0.064,0.043
"P06","7",0.025,0.082,0.063
"P06","8",0.027,0.087,0.07
"P06","9",0.113,0.318,0.273
"P07","1",0.613,0.243,0.311
"P07","2",0.03,0.036,0.03
"P07","3",0.033,0.029,0.029
"P07","4",0.01,0.023,0.033
"P07","5",0.069,0.131,0.102
"P07","6",0.009,0.022,0.038
"P07","7",0.025,0.052,0.037
"P07","8",0.014,0.052,0.056
"P07","9",0.197,0.412,0.364
"P09","Del Frente de Todos y el peronismo",0.785,0.034,0.167
"P09","De Cambiemos",0.036,0.641,0.191
"P09","De los Liberales libertarios",0.034,0.207,0.321
"P09","De la Izquierda",0.027,0.012,0.041
"P09","No sabe",0.118,0.106,0.28
"P10","A Alberto Fernández",0.166,0.221,0.196
"P10","A Sergio Massa",0.221,0.081,0.127
"P10","A algún candidato del peronismo",0.121,0.465,0.256
"P10","A algún candidato del kirchnerismo",0.492,0.233,0.421
"P11","A Alberto Fernández",0.119,0.105,0.167
"P11","A Sergio Massa",0.165,0.093,0.072
"P11","A algún candidato del peronismo",0.046,0.606,0.161
"P11","A Cristina Fernández de Kirchner",0.67,0.196,0.6
"P12","A Horacio Rodriguez Larreta",0.446,0.224,0.094
"P12","A Mauricio Macri",0.133,0.368,0.409
"P12","A Patricia Bullrich",0.021,0.334,0.408
"P12","A Facundo Manes",0.324,0.059,0.066
"P12","A Gerardo Morales",0.076,0.015,0.023
"P13","Seguro lo votaria",0.186,0.216,0.131
"P13","Quizás lo votaría",0.294,0.3,0.295
"P13","Nunca lo votaría",0.52,0.484,0.574
"P14","Lo votaría",0.018,0.463,0.171
"P14","Puede que lo vote",0.046,0.296,0.209
"P14","Nunca lo votaría",0.863,0.175,0.495
"P14","No sabe",0.073,0.066,0.125
"P15","Lo votaría",0.359,0.055,0.053
"P15","Puede que lo vote",0.385,0.063,0.138
"P15","Nunca lo votaría",0.167,0.846,0.701
"P15","No sabe",0.089,0.036,0.108
"P16","Lo votaría",0.259,0.009,0.068
"P16","Puede que lo vote",0.418,0.024,0.089
"P16","Nunca lo votaría",0.23,0.956,0.767
"P16","No sabe",0.093,0.011,0.076
"P17","La votaría",0.704,0.011,0.182
"P17","Puede que la vote",0.141,0.014,0.059
"P17","Nunca la votaría",0.118,0.968,0.71
"P17","No sabe",0.037,0.007,0.049
"P18","Lo votaría",0.067,0.33,0.03
"P18","Puede que lo vote",0.067,0.461,0.186
"P18","Nunca lo votaría",0.822,0.171,0.652
"P18","No sabe",0.044,0.038,0.132
"P19","Lo votaría",0.019,0.189,0.048
"P19","Puede que lo vote",0.128,0.417,0.21
"P19","Nunca lo votaría",0.747,0.329,0.593
"P19","No sabe",0.106,0.065,0.149
"P20","La votaría",0.021,0.518,0.226
"P20","Puede que la vote",0.049,0.28,0.24
"P20","Nunca la votaría",0.916,0.166,0.467
"P20","No sabe",0.014,0.036,0.067
"P21","Lo votaría",0.051,0.239,0.314
"P21","Puede que lo vote",0.063,0.248,0.136
"P21","Nunca lo votaría",0.851,0.467,0.455
"P21","No sabe",0.035,0.046,0.095
"P22","La votaría",0.024,0.24,0.079
"P22","Puede que la vote",0.031,0.405,0.17
"P22","Nunca la votaría",0.892,0.28,0.654
"P22","No sabe",0.053,0.075,0.097
"P23","Lo votaría",0.189,0.028,0.06
"P23","Puede que lo vote",0.491,0.039,0.123
"P23","Nunca lo votaría",0.252,0.904,0.759
"P23","No sabe",0.068,0.029,0.058
"P24","Lo votaría",0.022,0.084,0.013
"P24","Puede que lo vote",0.11,0.257,0.094
"P24","Nunca lo votaría",0.762,0.57,0.742
"P24","No sabe",0.106,0.089,0.151
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.005,0.45,0.172
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.02,0.243,0.035
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.095,0.008,0.043
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.792,0.007,0.175
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.024,0.204,0.347
"P25","Otros candidatos",0.064,0.088,0.228
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.857,0.014,0.208
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.015,0.616,0.188
"P29","Javier Milei – José Luis Espert por los liberales",0.042,0.247,0.357
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.031,0.006,0.037
"P29","Otro candidato",0.055,0.117,0.21
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.105,0.544,0.084
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.587,0.055,0.108
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.049,0.279,0.388
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.054,0.008,0.044
"P31","Otro candidato",0.205,0.114,0.376
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.8,0.032,0.07
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.038,0.657,0.214
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.024,0.202,0.342
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.046,0.005,0.049
"P33","Otro candidato",0.092,0.104,0.325
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.588,0.186,0.073
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.255,0.427,0.06
"P35","Javier Milei – José Luis Espert por los liberales",0.026,0.29,0.398
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.047,0.003,0.044
"P35","Otro candidato",0.084,0.094,0.425
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.465,0.302,0.148
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.413,0.32,0.112
"P37","Javier Milei – José Luis Espert por los liberales",0.032,0.273,0.375
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.035,0.005,0.042
"P37","Otro candidato",0.055,0.1,0.323
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.851,0.047,0.183
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.059,0.797,0.296
"P38","No sabe",0.09,0.156,0.521
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.764,0.013,0.107
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.048,0.903,0.127
"P39","No sabe",0.188,0.084,0.766
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.894,0.02,0.047
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.017,0.856,0.342
"P40","No sabe",0.089,0.124,0.611
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.902,0.016,0.187
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.04,0.941,0.096
"P41","No sabe",0.058,0.043,0.717
"P43","Muy buena",0.154,0.005,0.031
"P43","Buena",0.342,0.067,0.046
"P43","Ni buena ni mala",0.292,0.022,0.204
"P43","Mala",0.147,0.102,0.13
"P43","Muy mala",0.041,0.797,0.575
"P43","No sabe",0.024,0.007,0.014
"P44","Muy de acuerdo",0.353,0.083,0.117
"P44","De acuerdo",0.314,0.131,0.103
"P44","Ni de acuerdo ni en desacuerdo",0.24,0.344,0.308
"P44","En desacuerdo",0.04,0.154,0.17
"P44","Muy en desacuerdo",0.013,0.242,0.2
"P44","No sabe",0.04,0.046,0.102
"P45","Muy de acuerdo",0.399,0.033,0.048
"P45","De acuerdo",0.377,0.056,0.088
"P45","Ni de acuerdo ni en desacuerdo",0.184,0.313,0.301
"P45","En desacuerdo",0.025,0.212,0.143
"P45","Muy en desacuerdo",0.008,0.361,0.362
"P45","No sabe",0.007,0.025,0.058
"P46","Si",0.674,0.044,0.131
"P46","No",0.089,0.763,0.596
"P46","No sabe",0.237,0.193,0.273
"P47","Muy buena",0.208,0.015,0.053
"P47","Buena",0.31,0.092,0.11
"P47","Ni buena ni mala",0.274,0.067,0.152
"P47","Mala",0.164,0.115,0.15
"P47","Muy mala",0.042,0.709,0.52
"P47","No sabe",0.002,0.002,0.015
"P48","Muy buena",0.604,0.008,0.143
"P48","Buena",0.189,0.008,0.042
"P48","Ni buena ni mala",0.1,0.023,0.068
"P48","Mala",0.074,0.059,0.097
"P48","Muy mala",0.027,0.892,0.64
"P48","No sabe",0.006,0.01,0.01
"P49","Muy buena",0.081,0.286,0.117
"P49","Buena",0.022,0.273,0.15
"P49","Ni buena ni mala",0.05,0.191,0.162
"P49","Mala",0.208,0.099,0.198
"P49","Muy mala",0.629,0.143,0.359
"P49","No sabe",0.01,0.008,0.014
"P50","Muy buena",0.02,0.302,0.048
