"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.474,0.414,0.411,0.475,0.375
"P04","Realizo changas o trabajos de vez en cuando",0.149,0.22,0.15,0.151,0.127
"P04","No tengo trabajo",0.197,0.118,0.124,0.138,0.296
"P04","Soy jubilado o pensionado",0.18,0.248,0.315,0.236,0.202
"P05","1",0.354,0.47,0.438,0.188,0.33
"P05","2",0.044,0.075,0.058,0.05,0
"P05","3",0.11,0.073,0.097,0.081,0.044
"P05","4",0.119,0.106,0.079,0.086,0.252
"P05","5",0.224,0.118,0.211,0.244,0.168
"P05","6",0.029,0.037,0.019,0.064,0.023
"P05","7",0.022,0.009,0.036,0.124,0
"P05","8",0.023,0.011,0.017,0.044,0.084
"P05","9",0.075,0.101,0.045,0.119,0.099
"P06","1",0.191,0.22,0.12,0.241,0.347
"P06","2",0.021,0.041,0.049,0.019,0.076
"P06","3",0.033,0.023,0.019,0.04,0
"P06","4",0.019,0.011,0.044,0.065,0.013
"P06","5",0.25,0.135,0.19,0.251,0.178
"P06","6",0.088,0.044,0.057,0.092,0.11
"P06","7",0.063,0.087,0.111,0.103,0.029
"P06","8",0.085,0.077,0.08,0.045,0
"P06","9",0.25,0.362,0.33,0.144,0.247
"P07","1",0.275,0.21,0.243,0.312,0.22
"P07","2",0.031,0.041,0.067,0.019,0.076
"P07","3",0.043,0.027,0.022,0.022,0.059
"P07","4",0.019,0.007,0.025,0.019,0
"P07","5",0.152,0.152,0.132,0.203,0.068
"P07","6",0.022,0.014,0.022,0.02,0.086
"P07","7",0.042,0.064,0.067,0.046,0
"P07","8",0.045,0.039,0.045,0.059,0.054
"P07","9",0.371,0.446,0.377,0.3,0.437
"P13","Seguro lo votaria",0.355,0.229,0.157,0.141,0.223
"P13","Quizás lo votaría",0.209,0.352,0.324,0.274,0.092
"P13","Nunca lo votaría",0.436,0.419,0.519,0.585,0.685
"P14","Lo votaría",0.336,0.825,0.55,0.212,0.099
"P14","Puede que lo vote",0.341,0.115,0.353,0.303,0.272
"P14","Nunca lo votaría",0.294,0.057,0.083,0.354,0.629
"P14","No sabe",0.029,0.003,0.014,0.131,0
"P15","Lo votaría",0.098,0.074,0.018,0.038,0.122
"P15","Puede que lo vote",0.092,0.047,0.084,0.111,0.291
"P15","Nunca lo votaría",0.748,0.874,0.889,0.794,0.535
"P15","No sabe",0.062,0.005,0.009,0.057,0.052
"P16","Lo votaría",0.056,0.017,0.011,0.009,0.235
"P16","Puede que lo vote",0.034,0.028,0.018,0.056,0.062
"P16","Nunca lo votaría",0.903,0.941,0.964,0.901,0.651
"P16","No sabe",0.007,0.014,0.007,0.034,0.052
"P17","La votaría",0.042,0.03,0.01,0.084,0.227
"P17","Puede que la vote",0.035,0.017,0.011,0.06,0.181
"P17","Nunca la votaría",0.92,0.951,0.968,0.852,0.592
"P17","No sabe",0.003,0.002,0.011,0.004,0
"P18","Lo votaría",0.644,0.242,0.243,0.202,0.166
"P18","Puede que lo vote",0.211,0.446,0.465,0.477,0.266
"P18","Nunca lo votaría",0.126,0.278,0.253,0.245,0.426
"P18","No sabe",0.019,0.034,0.039,0.076,0.142
"P19","Lo votaría",0.181,0.131,0.078,0.606,0.103
"P19","Puede que lo vote",0.492,0.35,0.43,0.273,0.389
"P19","Nunca lo votaría",0.265,0.441,0.432,0.096,0.432
"P19","No sabe",0.062,0.078,0.06,0.025,0.076
"P20","La votaría",0.285,0.568,0.808,0.277,0.103
"P20","Puede que la vote",0.426,0.295,0.138,0.408,0.426
"P20","Nunca la votaría",0.244,0.11,0.043,0.283,0.432
"P20","No sabe",0.045,0.027,0.011,0.032,0.039
"P21","Lo votaría",0.081,0.073,0.138,0.065,0.089
"P21","Puede que lo vote",0.255,0.301,0.293,0.305,0.019
"P21","Nunca lo votaría",0.61,0.565,0.529,0.609,0.705
"P21","No sabe",0.054,0.061,0.04,0.021,0.187
"P22","La votaría",0.28,0.309,0.218,0.202,0.332
"P22","Puede que la vote",0.327,0.382,0.437,0.4,0.188
"P22","Nunca la votaría",0.334,0.234,0.286,0.374,0.398
"P22","No sabe",0.059,0.075,0.059,0.024,0.082
"P23","Lo votaría",0.045,0.026,0.011,0.015,0.164
"P23","Puede que lo vote",0.075,0.037,0.032,0.114,0.103
"P23","Nunca lo votaría",0.833,0.914,0.946,0.841,0.733
"P23","No sabe",0.047,0.023,0.011,0.03,0
"P24","Lo votaría",0.063,0.053,0.061,0.15,0.293
"P24","Puede que lo vote",0.269,0.224,0.23,0.27,0.411
"P24","Nunca lo votaría",0.554,0.633,0.645,0.525,0.165
"P24","No sabe",0.114,0.09,0.064,0.055,0.131
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.255,0.838,0.6,0.223,0.082
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.582,0.052,0.142,0.268,0.451
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.013,0,0.003,0,0.101
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.048,0.044,0.007,0.172,0.205
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.001,0.025,0.092,0.053,0.071
"P25","Otros candidatos",0.101,0.041,0.156,0.284,0.09
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.056,0.042,0.012,0.178,0.259
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.649,0.879,0.773,0.404,0.364
"P29","Javier Milei – José Luis Espert por los liberales",0.081,0.038,0.105,0.104,0.08
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.02,0.002,0.002,0.02,0.03
"P29","Otro candidato",0.194,0.039,0.108,0.294,0.267
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.751,0.541,0.504,0.563,0.659
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.046,0.085,0.048,0.092,0.19
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.06,0.135,0.178,0.091,0.116
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.012,0.003,0.003,0.053,0
"P31","Otro candidato",0.131,0.236,0.267,0.201,0.035
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.08,0.039,0.02,0.162,0.138
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.655,0.792,0.884,0.423,0.316
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.078,0.089,0.066,0.087,0.081
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.002,0,0.004,0.048,0
"P33","Otro candidato",0.185,0.08,0.026,0.28,0.465
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.239,0.177,0.161,0.227,0.365
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.543,0.456,0.429,0.44,0.34
"P35","Javier Milei – José Luis Espert por los liberales",0.088,0.16,0.171,0.11,0.079
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0,0,0.001,0.047,0
"P35","Otro candidato",0.13,0.207,0.238,0.176,0.216
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.476,0.25,0.313,0.48,0.482
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.352,0.383,0.254,0.228,0.391
"P37","Javier Milei – José Luis Espert por los liberales",0.048,0.136,0.187,0.1,0.074
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.002,0,0.002,0.012,0
"P37","Otro candidato",0.122,0.231,0.244,0.18,0.053
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.124,0.059,0.059,0.187,0.276
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.698,0.886,0.851,0.514,0.445
"P38","No sabe",0.178,0.055,0.09,0.299,0.279
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.075,0.031,0.022,0.094,0.276
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.816,0.76,0.775,0.663,0.65
"P39","No sabe",0.109,0.209,0.203,0.243,0.074
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.107,0.003,0.005,0.103,0.19
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.716,0.905,0.958,0.519,0.578
"P40","No sabe",0.177,0.092,0.037,0.378,0.232
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.063,0.032,0.006,0.182,0.214
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.878,0.765,0.786,0.656,0.641
"P41","No sabe",0.059,0.203,0.208,0.162,0.145
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.085,0.014,0.003,0.182,0.159
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.826,0.768,0.76,0.636,0.602
"P42","No sabe",0.089,0.218,0.237,0.182,0.239
"P43","Muy buena",0.052,0.001,0,0.026,0.131
"P43","Buena",0.064,0.066,0.034,0.104,0.061
"P43","Ni buena ni mala",0.05,0.046,0.017,0.071,0.05
"P43","Mala",0.142,0.042,0.053,0.083,0.144
"P43","Muy mala",0.692,0.84,0.896,0.693,0.614
"P43","No sabe",0,0.005,0,0.023,0
"P44","Muy de acuerdo",0.158,0.062,0.091,0.069,0.108
"P44","De acuerdo",0.092,0.104,0.117,0.154,0.307
"P44","Ni de acuerdo ni en desacuerdo",0.35,0.326,0.341,0.44,0.386
"P44","En desacuerdo",0.179,0.172,0.188,0.196,0.139
"P44","Muy en desacuerdo",0.17,0.302,0.225,0.092,0.06
"P44","No sabe",0.051,0.034,0.038,0.049,0
"P45","Muy de acuerdo",0.106,0.007,0.006,0.126,0.079
"P45","De acuerdo",0.075,0.05,0.032,0.082,0.221
"P45","Ni de acuerdo ni en desacuerdo",0.305,0.281,0.267,0.356,0.351
"P45","En desacuerdo",0.224,0.156,0.246,0.056,0.184
"P45","Muy en desacuerdo",0.269,0.496,0.428,0.362,0.165
"P45","No sabe",0.021,0.01,0.021,0.018,0
"P46","Si",0.1,0.02,0.025,0.145,0.288
"P46","No",0.647,0.853,0.794,0.675,0.382
"P46","No sabe",0.253,0.127,0.181,0.18,0.33
"P47","Muy buena",0.052,0.005,0,0.039,0.175
"P47","Buena",0.109,0.097,0.051,0.215,0.137
"P47","Ni buena ni mala",0.049,0.066,0.043,0.035,0.016
"P47","Mala",0.136,0.087,0.084,0.067,0.119
"P47","Muy mala",0.654,0.745,0.817,0.615,0.55
"P47","No sabe",0,0,0.005,0.029,0.003
"P48","Muy buena",0.053,0.005,0.003,0.054,0.24
"P48","Buena",0.029,0.014,0.001,0.041,0
"P48","Ni buena ni mala",0.013,0.012,0.006,0.011,0.072
"P48","Mala",0.036,0.053,0.029,0.099,0.067
"P48","Muy mala",0.869,0.901,0.961,0.766,0.618
"P48","No sabe",0,0.015,0,0.029,0.003
"P49","Muy buena",0.176,0.552,0.349,0.056,0.226
"P49","Buena",0.3,0.226,0.389,0.196,0.24
"P49","Ni buena ni mala",0.218,0.081,0.153,0.351,0.284
"P49","Mala",0.105,0.032,0.024,0.115,0.107
"P49","Muy mala",0.201,0.094,0.085,0.282,0.143
"P49","No sabe",0,0.015,0,0,0
"P50","Muy buena",0.544,0.263,0.265,0.138,0.117
"P50","Buena",0.321,0.372,0.36,0.331,0.484
"P50","Ni buena ni mala",0.07,0.24,0.243,0.257,0.076
"P50","Mala",0.017,0.059,0.056,0.163,0.218
"P50","Muy mala",0.048,0.066,0.071,0.111,0.105
"P50","No sabe",0,0,0.005,0,0
"P51","Muy buena",0.105,0.017,0.007,0.031,0.069
"P51","Buena",0.07,0.04,0.019,0.075,0.078
"P51","Ni buena ni mala",0.161,0.078,0.075,0.127,0.152
"P51","Mala",0.171,0.122,0.158,0.244,0.347
"P51","Muy mala",0.489,0.722,0.73,0.494,0.351
"P51","No sabe",0.004,0.021,0.011,0.029,0.003
"P52","Muy buena",0.306,0.52,0.791,0.162,0.148
"P52","Buena",0.299,0.261,0.149,0.327,0.411
"P52","Ni buena ni mala",0.252,0.096,0.014,0.218,0.124
"P52","Mala",0.063,0.029,0.018,0.157,0.198
"P52","Muy mala",0.08,0.086,0.026,0.136,0.119
"P52","No sabe",0,0.008,0.002,0,0
"P53","Muy buena",0.117,0.056,0.102,0.049,0.111
"P53","Buena",0.137,0.255,0.239,0.084,0.031
"P53","Ni buena ni mala",0.367,0.383,0.407,0.331,0.142
"P53","Mala",0.158,0.156,0.153,0.123,0.389
"P53","Muy mala",0.204,0.149,0.094,0.413,0.327
"P53","No sabe",0.017,0.001,0.005,0,0
"P54","Muy buena",0.351,0.378,0.321,0.271,0.255
"P54","Buena",0.271,0.381,0.391,0.251,0.309
"P54","Ni buena ni mala",0.193,0.129,0.204,0.113,0
"P54","Mala",0.051,0.059,0.032,0.189,0.236
"P54","Muy mala",0.134,0.05,0.05,0.176,0.2
"P54","No sabe",0,0.003,0.002,0,0
"P55","Muy buena",0.091,0.02,0.012,0.024,0.068
"P55","Buena",0.028,0.028,0.043,0.064,0.056
"P55","Ni buena ni mala",0.127,0.065,0.061,0.101,0.104
"P55","Mala",0.211,0.168,0.136,0.157,0.309
"P55","Muy mala",0.541,0.719,0.748,0.636,0.46
"P55","No sabe",0.002,0,0,0.018,0.003
"P56","Muy buena",0.137,0.096,0.105,0.458,0.235
"P56","Buena",0.337,0.237,0.266,0.22,0.305
"P56","Ni buena ni mala",0.318,0.302,0.362,0.136,0.238
"P56","Mala",0.04,0.175,0.117,0.027,0.162
"P56","Muy mala",0.141,0.178,0.134,0.151,0
"P56","No sabe",0.027,0.012,0.016,0.008,0.06
"P57","Muy buena",0.084,0.071,0.055,0.18,0.479
"P57","Buena",0.237,0.204,0.282,0.301,0.204
"P57","Ni buena ni mala",0.41,0.364,0.348,0.344,0.12
"P57","Mala",0.102,0.185,0.125,0.078,0.134
"P57","Muy mala",0.135,0.16,0.162,0.081,0
"P57","No sabe",0.032,0.016,0.028,0.016,0.063
