"var","categoria","Si","No","No sabe"
"P04","Tengo trabajo estable",0.447,0.415,0.415
"P04","Realizo changas o trabajos de vez en cuando",0.176,0.21,0.163
"P04","No tengo trabajo",0.169,0.188,0.161
"P04","Soy jubilado o pensionado",0.208,0.187,0.261
"P05","1",0.187,0.366,0.264
"P05","2",0.053,0.072,0.056
"P05","3",0.021,0.115,0.043
"P05","4",0.062,0.076,0.069
"P05","5",0.163,0.179,0.222
"P05","6",0.065,0.038,0.051
"P05","7",0.123,0.026,0.08
"P05","8",0.079,0.025,0.068
"P05","9",0.247,0.103,0.147
"P06","1",0.42,0.172,0.302
"P06","2",0.071,0.048,0.045
"P06","3",0.056,0.024,0.027
"P06","4",0.051,0.031,0.061
"P06","5",0.184,0.178,0.25
"P06","6",0.02,0.052,0.056
"P06","7",0.033,0.077,0.05
"P06","8",0.033,0.086,0.047
"P06","9",0.132,0.332,0.162
"P07","1",0.596,0.265,0.388
"P07","2",0.021,0.038,0.035
"P07","3",0.037,0.026,0.031
"P07","4",0.014,0.023,0.029
"P07","5",0.062,0.116,0.126
"P07","6",0.008,0.026,0.035
"P07","7",0.027,0.048,0.033
"P07","8",0.019,0.054,0.035
"P07","9",0.216,0.404,0.288
"P09","Del Frente de Todos y el peronismo",0.733,0.082,0.345
"P09","De Cambiemos",0.059,0.476,0.24
"P09","De los Liberales libertarios",0.06,0.284,0.122
"P09","De la Izquierda",0.017,0.023,0.045
"P09","No sabe",0.131,0.135,0.248
"P10","A Alberto Fernández",0.161,0.204,0.189
"P10","A Sergio Massa",0.263,0.126,0.06
"P10","A algún candidato del peronismo",0.109,0.285,0.221
"P10","A algún candidato del kirchnerismo",0.467,0.385,0.53
"P11","A Alberto Fernández",0.123,0.091,0.148
"P11","A Sergio Massa",0.194,0.114,0.04
"P11","A algún candidato del peronismo",0.051,0.201,0.117
"P11","A Cristina Fernández de Kirchner",0.632,0.594,0.695
"P12","A Horacio Rodriguez Larreta",0.398,0.176,0.296
"P12","A Mauricio Macri",0.143,0.409,0.261
"P12","A Patricia Bullrich",0.157,0.342,0.336
"P12","A Facundo Manes",0.197,0.063,0.072
"P12","A Gerardo Morales",0.105,0.01,0.035
"P13","Seguro lo votaria",0.296,0.2,0.18
"P13","Quizás lo votaría",0.227,0.301,0.297
"P13","Nunca lo votaría",0.477,0.499,0.523
"P14","Lo votaría",0.034,0.371,0.149
"P14","Puede que lo vote",0.063,0.259,0.189
"P14","Nunca lo votaría",0.842,0.278,0.564
"P14","No sabe",0.061,0.092,0.098
