"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P04","Tengo trabajo estable",0.484,0.467,0.405,0.407,0.393,0.291
"P04","Realizo changas o trabajos de vez en cuando",0.186,0.158,0.186,0.194,0.2,0.256
"P04","No tengo trabajo",0.15,0.15,0.174,0.211,0.221,0.206
"P04","Soy jubilado o pensionado",0.18,0.225,0.235,0.188,0.186,0.247
"P05","1",0.22,0.211,0.268,0.383,0.443,0.296
"P05","2",0.045,0.057,0.062,0.069,0.072,0.108
"P05","3",0.049,0.066,0.094,0.058,0.085,0.052
"P05","4",0.059,0.082,0.075,0.08,0.052,0.067
"P05","5",0.197,0.165,0.194,0.197,0.171,0.179
"P05","6",0.058,0.046,0.066,0.03,0.02,0.046
"P05","7",0.095,0.083,0.083,0.028,0.018,0.032
"P05","8",0.077,0.068,0.051,0.022,0.018,0.06
"P05","9",0.2,0.222,0.107,0.133,0.121,0.16
"P06","1",0.348,0.34,0.251,0.215,0.201,0.236
"P06","2",0.06,0.088,0.044,0.027,0.065,0.009
"P06","3",0.037,0.044,0.037,0.041,0.014,0.014
"P06","4",0.043,0.047,0.048,0.052,0.032,0.022
"P06","5",0.178,0.171,0.227,0.238,0.164,0.221
"P06","6",0.024,0.03,0.078,0.038,0.016,0.055
"P06","7",0.077,0.063,0.058,0.047,0.035,0.055
"P06","8",0.049,0.076,0.061,0.042,0.059,0.089
"P06","9",0.184,0.141,0.196,0.3,0.414,0.299
"P07","1",0.529,0.492,0.356,0.342,0.26,0.199
"P07","2",0.029,0.052,0.035,0.018,0.025,0.018
"P07","3",0.021,0.034,0.045,0.035,0.009,0.015
"P07","4",0.019,0.021,0.029,0.024,0.015,0.008
"P07","5",0.089,0.07,0.113,0.084,0.144,0.116
"P07","6",0.013,0.031,0.023,0.013,0.019,0.054
"P07","7",0.024,0.048,0.043,0.046,0.037,0.03
"P07","8",0.035,0.027,0.041,0.046,0.041,0.075
"P07","9",0.241,0.225,0.315,0.392,0.45,0.485
"P09","Del Frente de Todos y el peronismo",0.586,0.551,0.271,0.125,0.057,0.201
"P09","De Cambiemos",0.15,0.189,0.353,0.45,0.451,0.18
"P09","De los Liberales libertarios",0.159,0.112,0.144,0.198,0.323,0.289
"P09","De la Izquierda",0.012,0.027,0.03,0.043,0.022,0.024
"P09","No sabe",0.093,0.121,0.202,0.184,0.147,0.306
"P10","A Alberto Fernández",0.143,0.174,0.212,0.089,0.234,0.26
"P10","A Sergio Massa",0.269,0.153,0.148,0.233,0.117,0.313
"P10","A algún candidato del peronismo",0.105,0.145,0.196,0.234,0.417,0.193
"P10","A algún candidato del kirchnerismo",0.483,0.528,0.444,0.444,0.232,0.234
"P11","A Alberto Fernández",0.116,0.109,0.174,0.043,0.102,0.203
"P11","A Sergio Massa",0.195,0.101,0.126,0.123,0.141,0.263
"P11","A algún candidato del peronismo",0.055,0.051,0.094,0.217,0.448,0.175
"P11","A Cristina Fernández de Kirchner",0.634,0.739,0.606,0.617,0.309,0.359
"P12","A Horacio Rodriguez Larreta",0.352,0.168,0.21,0.205,0.154,0.271
"P12","A Mauricio Macri",0.244,0.337,0.347,0.351,0.483,0.317
"P12","A Patricia Bullrich",0.329,0.347,0.332,0.352,0.33,0.324
"P12","A Facundo Manes",0.053,0.096,0.09,0.077,0.028,0.088
"P12","A Gerardo Morales",0.022,0.052,0.021,0.015,0.005,0
"P13","Seguro lo votaria",0.232,0.123,0.171,0.222,0.224,0.345
"P13","Quizás lo votaría",0.285,0.338,0.286,0.311,0.309,0.194
"P13","Nunca lo votaría",0.483,0.539,0.543,0.467,0.467,0.461
"P14","Lo votaría",0.126,0.113,0.255,0.297,0.397,0.144
"P14","Puede que lo vote",0.106,0.177,0.186,0.221,0.25,0.22
"P14","Nunca lo votaría",0.705,0.651,0.47,0.339,0.296,0.459
"P14","No sabe",0.063,0.059,0.089,0.143,0.057,0.177
"P15","Lo votaría",0.35,0.184,0.089,0.073,0.097,0.145
"P15","Puede que lo vote",0.248,0.347,0.176,0.065,0.085,0.151
"P15","Nunca lo votaría",0.355,0.391,0.634,0.77,0.788,0.584
"P15","No sabe",0.047,0.078,0.101,0.092,0.03,0.12
"P16","Lo votaría",0.208,0.147,0.107,0.017,0.029,0.112
"P16","Puede que lo vote",0.282,0.343,0.141,0.067,0.013,0.129
"P16","Nunca lo votaría",0.453,0.435,0.691,0.867,0.94,0.628
"P16","No sabe",0.057,0.075,0.061,0.049,0.018,0.131
"P17","La votaría",0.522,0.486,0.257,0.104,0.058,0.187
"P17","Puede que la vote",0.094,0.103,0.078,0.06,0.014,0.035
