"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.367,0.467,0.534,0.517
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.173,0.227,0.156
"P04","No tengo trabajo",0.183,0.159,0.109,0.111
"P04","Soy jubilado o pensionado",0.233,0.201,0.13,0.216
"P05","1",0.379,0.292,0.149,0.126
"P05","2",0.056,0.055,0.064,0.045
"P05","3",0.008,0.029,0.061,0.024
"P05","4",0.022,0.054,0.027,0.043
"P05","5",0.064,0.145,0.211,0.113
"P05","6",0.014,0.069,0.059,0.086
"P05","7",0.066,0.098,0.104,0.159
"P05","8",0.057,0.069,0.043,0.113
"P05","9",0.334,0.189,0.282,0.291
"P06","1",0.484,0.403,0.417,0.524
"P06","2",0.084,0.069,0.051,0.073
"P06","3",0.005,0.064,0.05,0.059
"P06","4",0.029,0.071,0.044,0.07
"P06","5",0.147,0.209,0.231,0.111
"P06","6",0.016,0.028,0.007,0.024
"P06","7",0.016,0.032,0.066,0.017
"P06","8",0.02,0.022,0.035,0.044
"P06","9",0.199,0.102,0.099,0.078
"P07","1",0.559,0.597,0.524,0.689
"P07","2",0.023,0.034,0.016,0.046
"P07","3",0.026,0.036,0.015,0.021
"P07","4",0.006,0.02,0.017,0.027
"P07","5",0.058,0.029,0.123,0.058
"P07","6",0.009,0.006,0.008,0.007
"P07","7",0.004,0.021,0.056,0.024
"P07","8",0.003,0.02,0.024,0.01
"P07","9",0.312,0.237,0.217,0.118
"P11","A Alberto Fernández",0.662,0.025,0.076,0.012
"P11","A Sergio Massa",0.061,0.572,0.046,0.016
"P11","A algún candidato del peronismo",0.042,0.036,0.431,0.022
"P11","A Cristina Fernández de Kirchner",0.235,0.367,0.447,0.95
"P14","Lo votaría",0.07,0.009,0.072,0.008
"P14","Puede que lo vote",0.054,0.092,0.028,0.008
"P14","Nunca lo votaría",0.826,0.843,0.857,0.935
"P14","No sabe",0.05,0.056,0.043,0.049
"P15","Lo votaría",0.384,0.604,0.245,0.206
"P15","Puede que lo vote",0.309,0.274,0.372,0.441
"P15","Nunca lo votaría",0.217,0.087,0.28,0.222
"P15","No sabe",0.09,0.035,0.103,0.131
"P16","Lo votaría",0.793,0.242,0.13,0.156
"P16","Puede que lo vote",0.14,0.447,0.397,0.494
"P16","Nunca lo votaría",0.041,0.244,0.348,0.235
"P16","No sabe",0.026,0.067,0.125,0.115
"P17","La votaría",0.761,0.642,0.597,0.929
"P17","Puede que la vote",0.089,0.192,0.151,0.042
"P17","Nunca la votaría",0.118,0.116,0.175,0.024
"P17","No sabe",0.032,0.05,0.077,0.005
"P18","Lo votaría",0.078,0.069,0.048,0.03
"P18","Puede que lo vote",0.117,0.118,0.088,0.015
"P18","Nunca lo votaría",0.77,0.771,0.789,0.941
"P18","No sabe",0.035,0.042,0.075,0.014
"P19","Lo votaría",0.046,0.012,0.048,0.006
"P19","Puede que lo vote",0.098,0.172,0.137,0.077
"P19","Nunca lo votaría",0.685,0.728,0.694,0.841
"P19","No sabe",0.171,0.088,0.121,0.076
"P20","La votaría",0.02,0.025,0.035,0.017
"P20","Puede que la vote",0.067,0.061,0.03,0.004
