"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P04","Tengo trabajo estable",0.456,0.404,0.396
"P04","Realizo changas o trabajos de vez en cuando",0.174,0.191,0.215
"P04","No tengo trabajo",0.165,0.147,0.239
"P04","Soy jubilado o pensionado",0.205,0.258,0.15
"P05","1",0.177,0.401,0.27
"P05","2",0.049,0.07,0.063
"P05","3",0.027,0.096,0.082
"P05","4",0.059,0.097,0.033
"P05","5",0.153,0.171,0.247
"P05","6",0.068,0.035,0.041
"P05","7",0.125,0.031,0.048
"P05","8",0.087,0.026,0.041
"P05","9",0.255,0.073,0.175
"P06","1",0.447,0.165,0.255
"P06","2",0.091,0.042,0.026
"P06","3",0.055,0.019,0.03
"P06","4",0.052,0.03,0.048
"P06","5",0.178,0.173,0.253
"P06","6",0.024,0.05,0.051
"P06","7",0.026,0.098,0.026
"P06","8",0.024,0.098,0.044
"P06","9",0.103,0.325,0.267
"P07","1",0.614,0.212,0.381
"P07","2",0.031,0.038,0.025
"P07","3",0.031,0.027,0.034
"P07","4",0.011,0.024,0.028
"P07","5",0.061,0.126,0.101
"P07","6",0.009,0.032,0.021
"P07","7",0.021,0.055,0.032
"P07","8",0.015,0.051,0.051
"P07","9",0.207,0.435,0.327
"P09","Del Frente de Todos y el peronismo",0.798,0.029,0.212
"P09","De Cambiemos",0.033,0.623,0.126
"P09","De los Liberales libertarios",0.031,0.248,0.246
"P09","De la Izquierda",0.025,0.011,0.056
"P09","No sabe",0.113,0.089,0.36
"P10","A Alberto Fernández",0.177,0.115,0.226
"P10","A Sergio Massa",0.213,0.176,0.137
"P10","A algún candidato del peronismo",0.119,0.455,0.257
"P10","A algún candidato del kirchnerismo",0.491,0.254,0.38
"P11","A Alberto Fernández",0.133,0.047,0.144
"P11","A Sergio Massa",0.154,0.139,0.114
"P11","A algún candidato del peronismo",0.04,0.585,0.191
"P11","A Cristina Fernández de Kirchner",0.673,0.229,0.551
"P12","A Horacio Rodriguez Larreta",0.621,0.176,0.322
"P12","A Mauricio Macri",0.027,0.387,0.293
"P12","A Patricia Bullrich",0.05,0.38,0.108
"P12","A Facundo Manes",0.208,0.045,0.241
"P12","A Gerardo Morales",0.094,0.012,0.036
"P13","Seguro lo votaria",0.302,0.194,0.187
"P13","Quizás lo votaría",0.206,0.301,0.343
"P13","Nunca lo votaría",0.492,0.505,0.47
"P14","Lo votaría",0.022,0.489,0.064
"P14","Puede que lo vote",0.038,0.3,0.173
"P14","Nunca lo votaría",0.882,0.147,0.604
"P14","No sabe",0.058,0.064,0.159
"P15","Lo votaría",0.365,0.048,0.058
"P15","Puede que lo vote",0.377,0.054,0.193
"P15","Nunca lo votaría",0.172,0.862,0.623
"P15","No sabe",0.086,0.036,0.126
"P16","Lo votaría",0.274,0.008,0.096
"P16","Puede que lo vote",0.404,0.017,0.139
"P16","Nunca lo votaría",0.237,0.967,0.662
"P16","No sabe",0.085,0.008,0.103
"P17","La votaría",0.717,0.012,0.237
"P17","Puede que la vote",0.143,0.014,0.073
"P17","Nunca la votaría",0.116,0.973,0.607
"P17","No sabe",0.024,0.001,0.083
"P18","Lo votaría",0.064,0.254,0.092
"P18","Puede que lo vote",0.074,0.416,0.173
"P18","Nunca lo votaría",0.831,0.27,0.598
"P18","No sabe",0.031,0.06,0.137
"P19","Lo votaría",0.022,0.153,0.072
"P19","Puede que lo vote",0.111,0.389,0.211
"P19","Nunca lo votaría",0.771,0.385,0.522
"P19","No sabe",0.096,0.073,0.195
"P20","La votaría",0.027,0.555,0.078
"P20","Puede que la vote",0.037,0.311,0.188
"P20","Nunca la votaría",0.924,0.107,0.622
"P20","No sabe",0.012,0.027,0.112
"P21","Lo votaría",0.043,0.269,0.26
"P21","Puede que lo vote",0.056,0.24,0.13
"P21","Nunca lo votaría",0.878,0.431,0.485
"P21","No sabe",0.023,0.06,0.125
"P22","La votaría",0.013,0.225,0.069
"P22","Puede que la vote",0.031,0.378,0.14
"P22","Nunca la votaría",0.91,0.313,0.669
"P22","No sabe",0.046,0.084,0.122
"P23","Lo votaría",0.209,0.024,0.062
"P23","Puede que lo vote",0.475,0.041,0.171
"P23","Nunca lo votaría",0.247,0.909,0.691
"P23","No sabe",0.069,0.026,0.076
"P24","Lo votaría",0.027,0.058,0.034
"P24","Puede que lo vote",0.094,0.229,0.113
"P24","Nunca lo votaría",0.773,0.619,0.665
"P24","No sabe",0.106,0.094,0.188
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.008,0.473,0.058
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.031,0.166,0.104
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.104,0.003,0.077
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.781,0.012,0.236
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.018,0.243,0.294
"P25","Otros candidatos",0.058,0.103,0.231
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.853,0.017,0.289
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.02,0.613,0.087
"P29","Javier Milei – José Luis Espert por los liberales",0.043,0.27,0.309
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.029,0.009,0.045
"P29","Otro candidato",0.055,0.091,0.27
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.094,0.441,0.156
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.594,0.05,0.158
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.052,0.316,0.326
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.053,0.01,0.05
"P31","Otro candidato",0.207,0.183,0.31
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.805,0.026,0.118
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.034,0.69,0.068
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.028,0.22,0.309
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.041,0.007,0.068
"P33","Otro candidato",0.092,0.057,0.437
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.613,0.145,0.1
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.246,0.354,0.126
"P35","Javier Milei – José Luis Espert por los liberales",0.024,0.331,0.325
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.037,0.01,0.062
"P35","Otro candidato",0.08,0.16,0.387
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.466,0.231,0.242
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.423,0.269,0.156
"P37","Javier Milei – José Luis Espert por los liberales",0.026,0.312,0.311
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.031,0.01,0.055
"P37","Otro candidato",0.054,0.178,0.236
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.853,0.041,0.26
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.06,0.817,0.125
"P38","No sabe",0.087,0.142,0.615
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.785,0.021,0.126
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.064,0.762,0.148
"P39","No sabe",0.151,0.217,0.726
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.901,0.017,0.26
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.041,0.777,0.17
"P41","No sabe",0.058,0.206,0.57
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.934,0.014,0.115
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.022,0.737,0.171
"P42","No sabe",0.044,0.249,0.714
"P43","Muy buena",0.16,0.007,0.034
"P43","Buena",0.341,0.047,0.091
"P43","Ni buena ni mala",0.284,0.045,0.223
"P43","Mala",0.144,0.081,0.173
"P43","Muy mala",0.055,0.809,0.459
"P43","No sabe",0.016,0.011,0.02
"P44","Muy de acuerdo",0.362,0.097,0.104
"P44","De acuerdo",0.315,0.125,0.117
"P44","Ni de acuerdo ni en desacuerdo",0.226,0.317,0.357
"P44","En desacuerdo",0.045,0.157,0.154
"P44","Muy en desacuerdo",0.02,0.249,0.16
"P44","No sabe",0.032,0.055,0.108
"P45","Muy de acuerdo",0.402,0.032,0.07
"P45","De acuerdo",0.366,0.051,0.134
"P45","Ni de acuerdo ni en desacuerdo",0.179,0.277,0.356
"P45","En desacuerdo",0.028,0.207,0.126
"P45","Muy en desacuerdo",0.018,0.41,0.249
"P45","No sabe",0.007,0.023,0.065
"P46","Si",0.68,0.042,0.179
"P46","No",0.087,0.776,0.509
"P46","No sabe",0.233,0.182,0.312
"P47","Muy buena",0.212,0.008,0.078
"P47","Buena",0.314,0.087,0.127
"P47","Ni buena ni mala",0.261,0.053,0.215
"P47","Mala",0.159,0.1,0.19
"P47","Muy mala",0.05,0.749,0.375
"P47","No sabe",0.004,0.003,0.015
"P48","Muy buena",0.625,0.009,0.172
"P48","Buena",0.186,0.004,0.068
"P48","Ni buena ni mala",0.085,0.018,0.107
"P48","Mala",0.057,0.05,0.14
"P48","Muy mala",0.043,0.91,0.498
"P48","No sabe",0.004,0.009,0.015
"P49","Muy buena",0.078,0.3,0.059
"P49","Buena",0.019,0.302,0.072
"P49","Ni buena ni mala",0.035,0.193,0.163
"P49","Mala",0.22,0.079,0.237
"P49","Muy mala",0.638,0.119,0.45
"P49","No sabe",0.01,0.007,0.019
"P50","Muy buena",0.021,0.251,0.073
"P50","Buena",0.057,0.329,0.139
"P50","Ni buena ni mala",0.137,0.261,0.195
"P50","Mala",0.261,0.081,0.158
"P50","Muy mala",0.508,0.071,0.381
"P50","No sabe",0.016,0.007,0.054
"P51","Muy buena",0.197,0.028,0.033
"P51","Buena",0.38,0.033,0.123
"P51","Ni buena ni mala",0.312,0.108,0.263
"P51","Mala",0.051,0.185,0.203
"P51","Muy mala",0.058,0.638,0.344
"P51","No sabe",0.002,0.008,0.034
"P52","Muy buena",0.029,0.516,0.068
"P52","Buena",0.06,0.286,0.131
"P52","Ni buena ni mala",0.077,0.099,0.256
"P52","Mala",0.169,0.031,0.161
"P52","Muy mala",0.657,0.06,0.338
"P52","No sabe",0.008,0.008,0.046
"P53","Muy buena",0.022,0.212,0.222
"P53","Buena",0.04,0.229,0.114
"P53","Ni buena ni mala",0.104,0.327,0.184
"P53","Mala",0.171,0.127,0.118
"P53","Muy mala",0.649,0.096,0.314
"P53","No sabe",0.014,0.009,0.048
"P54","Muy buena",0.008,0.307,0.069
"P54","Buena",0.018,0.333,0.105
"P54","Ni buena ni mala",0.08,0.218,0.174
"P54","Mala",0.187,0.068,0.211
"P54","Muy mala",0.7,0.069,0.408
"P54","No sabe",0.007,0.005,0.033
