"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P04","Tengo trabajo estable",0.459,0.413,0.367
"P04","Realizo changas o trabajos de vez en cuando",0.176,0.189,0.233
"P04","No tengo trabajo",0.166,0.15,0.234
"P04","Soy jubilado o pensionado",0.199,0.248,0.166
"P05","1",0.179,0.389,0.324
"P05","2",0.051,0.072,0.061
"P05","3",0.023,0.103,0.081
"P05","4",0.049,0.091,0.053
"P05","5",0.137,0.174,0.275
"P05","6",0.064,0.033,0.048
"P05","7",0.134,0.029,0.024
"P05","8",0.086,0.025,0.03
"P05","9",0.277,0.084,0.104
"P06","1",0.458,0.167,0.196
"P06","2",0.079,0.037,0.038
"P06","3",0.05,0.018,0.039
"P06","4",0.049,0.034,0.043
"P06","5",0.17,0.179,0.263
"P06","6",0.028,0.05,0.049
"P06","7",0.021,0.1,0.036
"P06","8",0.026,0.094,0.053
"P06","9",0.119,0.321,0.283
"P07","1",0.607,0.239,0.288
"P07","2",0.031,0.041,0.022
"P07","3",0.038,0.023,0.026
"P07","4",0.012,0.023,0.03
"P07","5",0.053,0.143,0.097
"P07","6",0.01,0.025,0.032
"P07","7",0.025,0.056,0.028
"P07","8",0.011,0.049,0.061
"P07","9",0.213,0.401,0.416
"P09","Del Frente de Todos y el peronismo",0.764,0.071,0.087
"P09","De Cambiemos",0.069,0.622,0.129
"P09","De los Liberales libertarios",0.026,0.214,0.344
"P09","De la Izquierda",0.032,0.012,0.044
"P09","No sabe",0.109,0.081,0.396
"P10","A Alberto Fernández",0.181,0.087,0.328
"P10","A Sergio Massa",0.189,0.278,0.239
"P10","A algún candidato del peronismo",0.131,0.284,0.315
"P10","A algún candidato del kirchnerismo",0.499,0.351,0.118
"P11","A Alberto Fernández",0.122,0.078,0.29
"P11","A Sergio Massa",0.13,0.169,0.335
"P11","A algún candidato del peronismo",0.05,0.34,0.273
"P11","A Cristina Fernández de Kirchner",0.698,0.413,0.102
"P12","A Horacio Rodriguez Larreta",0.307,0.184,0.329
"P12","A Mauricio Macri",0.248,0.401,0.174
"P12","A Patricia Bullrich",0.232,0.359,0.265
"P12","A Facundo Manes",0.157,0.046,0.189
"P12","A Gerardo Morales",0.056,0.01,0.043
"P13","Seguro lo votaria",0.203,0.194,0.237
"P13","Quizás lo votaría",0.316,0.32,0.189
"P13","Nunca lo votaría",0.481,0.486,0.574
"P14","Lo votaría",0.038,0.495,0.069
"P14","Puede que lo vote",0.04,0.311,0.184
"P14","Nunca lo votaría",0.867,0.131,0.577
"P14","No sabe",0.055,0.063,0.17
"P15","Lo votaría",0.317,0.046,0.081
"P15","Puede que lo vote",0.358,0.06,0.156
"P15","Nunca lo votaría",0.218,0.868,0.645
"P15","No sabe",0.107,0.026,0.118
"P16","Lo votaría",0.274,0.013,0.047
"P16","Puede que lo vote",0.372,0.047,0.089
"P16","Nunca lo votaría",0.273,0.927,0.763
"P16","No sabe",0.081,0.013,0.101
"P17","La votaría",0.758,0.033,0.04
"P17","Puede que la vote",0.13,0.022,0.064
"P17","Nunca la votaría",0.087,0.938,0.82
"P17","No sabe",0.025,0.007,0.076
"P18","Lo votaría",0.06,0.277,0.082
"P18","Puede que lo vote",0.065,0.4,0.245
"P18","Nunca lo votaría",0.83,0.273,0.535
"P18","No sabe",0.045,0.05,0.138
"P19","Lo votaría",0.027,0.129,0.112
"P19","Puede que lo vote",0.111,0.386,0.243
"P19","Nunca lo votaría",0.752,0.41,0.469
