"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.43,0.388,0.455,0.355,0.399
"P04","Realizo changas o trabajos de vez en cuando",0.198,0.17,0.275,0.307,0.184
"P04","No tengo trabajo",0.163,0.134,0.209,0.233,0.218
"P04","Soy jubilado o pensionado",0.209,0.308,0.061,0.105,0.199
"P05","1",0.185,0.413,0.384,0.176,0.218
"P05","2",0.064,0.064,0.064,0.075,0.046
"P05","3",0.04,0.083,0.108,0.003,0.052
"P05","4",0.056,0.089,0.067,0.042,0.062
"P05","5",0.149,0.193,0.186,0.166,0.281
"P05","6",0.079,0.03,0.029,0.022,0.041
"P05","7",0.115,0.032,0.018,0.093,0.065
"P05","8",0.073,0.024,0.041,0.076,0.042
"P05","9",0.239,0.072,0.103,0.347,0.193
"P06","1",0.438,0.185,0.125,0.378,0.28
"P06","2",0.074,0.034,0.039,0.087,0.044
"P06","3",0.056,0.019,0.019,0.083,0.02
"P06","4",0.057,0.031,0.032,0.044,0.053
"P06","5",0.185,0.181,0.183,0.266,0.285
"P06","6",0.022,0.054,0.036,0.062,0.065
"P06","7",0.021,0.092,0.065,0.006,0.035
"P06","8",0.027,0.075,0.108,0.002,0.036
"P06","9",0.12,0.329,0.393,0.072,0.182
"P07","1",0.605,0.229,0.22,0.624,0.419
"P07","2",0.031,0.033,0.04,0.089,0.024
"P07","3",0.033,0.028,0.027,0.009,0.035
"P07","4",0.016,0.02,0.037,0.006,0.017
"P07","5",0.069,0.142,0.093,0.083,0.088
"P07","6",0.01,0.021,0.024,0,0.029
"P07","7",0.019,0.054,0.053,0.011,0.031
"P07","8",0.017,0.044,0.08,0.006,0.021
"P07","9",0.2,0.429,0.426,0.172,0.336
"P09","Del Frente de Todos y el peronismo",0.801,0.042,0.018,0.239,0.304
"P09","De Cambiemos",0.052,0.747,0.115,0.037,0.169
"P09","De los Liberales libertarios",0.014,0.118,0.681,0.116,0.05
"P09","De la Izquierda",0.014,0.006,0.019,0.394,0.031
"P09","No sabe",0.119,0.087,0.167,0.214,0.446
"P10","A Alberto Fernández",0.18,0.232,0.205,0.177,0.225
"P10","A Sergio Massa",0.232,0.228,0.263,0.229,0.04
"P10","A algún candidato del peronismo",0.128,0.312,0.297,0.27,0.234
"P10","A algún candidato del kirchnerismo",0.46,0.228,0.235,0.324,0.501
"P11","A Alberto Fernández",0.122,0.118,0.161,0.122,0.215
"P11","A Sergio Massa",0.167,0.188,0.161,0.173,0.023
"P11","A algún candidato del peronismo",0.065,0.375,0.342,0.149,0.112
"P11","A Cristina Fernández de Kirchner",0.646,0.319,0.336,0.556,0.65
"P12","A Horacio Rodriguez Larreta",0.338,0.189,0.217,0.076,0.383
"P12","A Mauricio Macri",0.271,0.378,0.411,0,0.275
"P12","A Patricia Bullrich",0.127,0.387,0.278,0.26,0.083
"P12","A Facundo Manes",0.22,0.039,0.077,0.664,0.186
"P12","A Gerardo Morales",0.044,0.007,0.017,0,0.073
"P13","Seguro lo votaria",0.19,0.179,0.539,0.166,0.17
"P13","Quizás lo votaría",0.256,0.298,0.394,0,0.285
"P13","Nunca lo votaría",0.554,0.523,0.067,0.834,0.545
"P14","Lo votaría",0.027,0.542,0.145,0.031,0.081
"P14","Puede que lo vote",0.051,0.272,0.321,0.046,0.144
"P14","Nunca lo votaría",0.869,0.127,0.406,0.737,0.642
"P14","No sabe",0.053,0.059,0.128,0.186,0.133
"P15","Lo votaría",0.364,0.06,0.044,0.079,0.058
"P15","Puede que lo vote",0.39,0.057,0.097,0.211,0.201
"P15","Nunca lo votaría",0.16,0.844,0.799,0.574,0.568
"P15","No sabe",0.086,0.039,0.06,0.136,0.173
"P16","Lo votaría",0.278,0.019,0.013,0.066,0.136
"P16","Puede que lo vote",0.424,0.029,0.025,0.171,0.15
"P16","Nunca lo votaría",0.214,0.941,0.917,0.588,0.592
"P16","No sabe",0.084,0.011,0.045,0.175,0.122
"P17","La votaría",0.696,0.034,0.035,0.272,0.346
"P17","Puede que la vote",0.125,0.02,0.017,0.232,0.087
"P17","Nunca la votaría",0.145,0.944,0.929,0.383,0.481
"P17","No sabe",0.034,0.002,0.019,0.113,0.086
"P18","Lo votaría",0.081,0.306,0.068,0.051,0.092
"P18","Puede que lo vote",0.089,0.421,0.263,0.094,0.204
"P18","Nunca lo votaría",0.786,0.218,0.616,0.772,0.552
"P18","No sabe",0.044,0.055,0.053,0.083,0.152
"P19","Lo votaría",0.027,0.15,0.081,0.031,0.097
"P19","Puede que lo vote",0.136,0.402,0.273,0.165,0.195
"P19","Nunca lo votaría",0.723,0.369,0.55,0.67,0.518
"P19","No sabe",0.114,0.079,0.096,0.134,0.19
"P20","La votaría",0.03,0.636,0.198,0.024,0.047
"P20","Puede que la vote",0.05,0.254,0.388,0.049,0.152
"P20","Nunca la votaría",0.897,0.085,0.356,0.837,0.694
"P20","No sabe",0.023,0.025,0.058,0.09,0.107
"P21","Lo votaría",0.03,0.143,0.734,0.057,0.016
"P21","Puede que lo vote",0.051,0.271,0.162,0.124,0.142
"P21","Nunca lo votaría",0.883,0.517,0.058,0.729,0.707
"P21","No sabe",0.036,0.069,0.046,0.09,0.135
"P22","La votaría",0.022,0.274,0.086,0.006,0.048
"P22","Puede que la vote",0.034,0.393,0.246,0.093,0.15
"P22","Nunca la votaría",0.888,0.251,0.582,0.794,0.663
"P22","No sabe",0.056,0.082,0.086,0.107,0.139
"P23","Lo votaría",0.219,0.033,0.025,0.007,0.056
"P23","Puede que lo vote",0.472,0.052,0.059,0.204,0.212
"P23","Nunca lo votaría",0.243,0.885,0.868,0.731,0.644
"P23","No sabe",0.066,0.03,0.048,0.058,0.088
"P24","Lo votaría",0.034,0.067,0.021,0,0.03
"P24","Puede que lo vote",0.115,0.253,0.097,0.141,0.114
"P24","Nunca lo votaría",0.736,0.591,0.762,0.65,0.644
"P24","No sabe",0.115,0.089,0.12,0.209,0.212
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.025,0.571,0.054,0.035,0.08
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.044,0.199,0.049,0.055,0.122
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.105,0.008,0.005,0.043,0.108
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.766,0.031,0.04,0.363,0.33
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.006,0.085,0.807,0.039,0.022
"P25","Otros candidatos",0.054,0.106,0.045,0.465,0.338
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.86,0.038,0.023,0.366,0.399
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.043,0.752,0.077,0.016,0.102
"P29","Javier Milei – José Luis Espert por los liberales",0.025,0.11,0.87,0,0.032
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.009,0.002,0.002,0.535,0.018
"P29","Otro candidato",0.063,0.098,0.028,0.083,0.449
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.135,0.562,0.053,0.089,0.145
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.636,0.071,0.014,0.098,0.183
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.03,0.165,0.904,0.088,0.038
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.029,0.003,0.003,0.69,0.028
"P31","Otro candidato",0.17,0.199,0.026,0.035,0.606
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.638,0.185,0.017,0.042,0.15
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.284,0.47,0.02,0.041,0.113
"P35","Javier Milei – José Luis Espert por los liberales",0.007,0.169,0.939,0.046,0.013
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.005,0.008,0.79,0.016
"P35","Otro candidato",0.063,0.171,0.016,0.081,0.708
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.482,0.298,0.065,0.12,0.305
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.441,0.324,0.03,0.168,0.247
"P37","Javier Milei – José Luis Espert por los liberales",0.018,0.169,0.881,0.041,0.009
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.004,0.018,0.649,0.013
"P37","Otro candidato",0.055,0.205,0.006,0.022,0.426
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.814,0.07,0.037,0.569,0.393
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.08,0.82,0.418,0.077,0.167
"P38","No sabe",0.106,0.11,0.545,0.354,0.44
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.732,0.043,0.029,0.339,0.252
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.087,0.766,0.376,0.122,0.207
"P39","No sabe",0.181,0.191,0.595,0.539,0.541
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.859,0.035,0.05,0.384,0.174
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.036,0.907,0.496,0.082,0.137
"P40","No sabe",0.105,0.058,0.454,0.534,0.689
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.857,0.041,0.04,0.606,0.399
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.065,0.781,0.418,0.096,0.212
"P41","No sabe",0.078,0.178,0.542,0.298,0.389
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.891,0.041,0.044,0.479,0.186
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.038,0.752,0.393,0.06,0.222
"P42","No sabe",0.071,0.207,0.563,0.461,0.592
"P43","Muy buena",0.147,0.013,0.014,0.03,0.066
"P43","Buena",0.337,0.066,0.039,0.129,0.115
"P43","Ni buena ni mala",0.307,0.046,0.055,0.346,0.238
"P43","Mala",0.147,0.085,0.077,0.252,0.192
"P43","Muy mala",0.048,0.784,0.8,0.202,0.361
"P43","No sabe",0.014,0.006,0.015,0.041,0.028
"P44","Muy de acuerdo",0.353,0.103,0.12,0.112,0.118
"P44","De acuerdo",0.313,0.123,0.12,0.088,0.156
"P44","Ni de acuerdo ni en desacuerdo",0.223,0.34,0.211,0.472,0.419
"P44","En desacuerdo",0.053,0.15,0.147,0.166,0.146
"P44","Muy en desacuerdo",0.018,0.232,0.319,0.104,0.068
"P44","No sabe",0.04,0.052,0.083,0.058,0.093
"P45","Muy de acuerdo",0.405,0.042,0.04,0.107,0.089
"P45","De acuerdo",0.383,0.06,0.045,0.147,0.156
"P45","Ni de acuerdo ni en desacuerdo",0.162,0.289,0.25,0.444,0.395
"P45","En desacuerdo",0.025,0.204,0.168,0.154,0.124
"P45","Muy en desacuerdo",0.012,0.387,0.45,0.136,0.176
"P45","No sabe",0.013,0.018,0.047,0.012,0.06
"P46","Si",0.671,0.07,0.063,0.227,0.231
