"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.404,0.432,0.442
"P04","Realizo changas o trabajos de vez en cuando",0.225,0.209,0.128
"P04","No tengo trabajo",0.145,0.131,0.154
"P04","Soy jubilado o pensionado",0.226,0.228,0.276
"P05","1",0.473,0.398,0.382
"P05","2",0.061,0.07,0.051
"P05","3",0.045,0.077,0.119
"P05","4",0.054,0.124,0.112
"P05","5",0.152,0.186,0.195
"P05","6",0.011,0.032,0.042
"P05","7",0.017,0.033,0.029
"P05","8",0.044,0.014,0.012
"P05","9",0.143,0.066,0.058
"P06","1",0.315,0.149,0.149
"P06","2",0.039,0.032,0.043
"P06","3",0.029,0.033,0.018
"P06","4",0.009,0.028,0.036
"P06","5",0.16,0.178,0.203
"P06","6",0.034,0.064,0.078
"P06","7",0.029,0.121,0.098
"P06","8",0.075,0.086,0.071
"P06","9",0.31,0.309,0.304
"P07","1",0.314,0.228,0.222
"P07","2",0.046,0.047,0.046
"P07","3",0.006,0.047,0.029
"P07","4",0.013,0.013,0.02
"P07","5",0.106,0.151,0.163
"P07","6",0.018,0.02,0.022
"P07","7",0.02,0.096,0.051
"P07","8",0.03,0.043,0.052
"P07","9",0.447,0.355,0.395
"P12","A Horacio Rodriguez Larreta",0.357,0.161,0.213
"P12","A Mauricio Macri",0.361,0.425,0.319
"P12","A Patricia Bullrich",0.212,0.336,0.339
"P12","A Facundo Manes",0.048,0.071,0.096
"P12","A Gerardo Morales",0.022,0.007,0.033
"P14","Lo votaría",0.622,0.534,0.553
"P14","Puede que lo vote",0.225,0.337,0.225
"P14","Nunca lo votaría",0.136,0.108,0.196
"P14","No sabe",0.017,0.021,0.026
"P15","Lo votaría",0.076,0.08,0.041
"P15","Puede que lo vote",0.113,0.067,0.071
"P15","Nunca lo votaría",0.773,0.837,0.865
"P15","No sabe",0.038,0.016,0.023
"P16","Lo votaría",0.026,0.025,0.031
"P16","Puede que lo vote",0.021,0.044,0.024
"P16","Nunca lo votaría",0.942,0.91,0.936
"P16","No sabe",0.011,0.021,0.009
"P17","La votaría",0.03,0.03,0.042
"P17","Puede que la vote",0.017,0.04,0.022
"P17","Nunca la votaría",0.944,0.922,0.935
"P17","No sabe",0.009,0.008,0.001
"P18","Lo votaría",0.374,0.274,0.348
"P18","Puede que lo vote",0.328,0.455,0.388
"P18","Nunca lo votaría",0.264,0.23,0.227
"P18","No sabe",0.034,0.041,0.037
"P19","Lo votaría",0.148,0.166,0.159
"P19","Puede que lo vote",0.421,0.457,0.361
"P19","Nunca lo votaría",0.357,0.283,0.438
"P19","No sabe",0.074,0.094,0.042
"P20","La votaría",0.458,0.542,0.597
"P20","Puede que la vote",0.388,0.286,0.239
"P20","Nunca la votaría",0.123,0.124,0.153
"P20","No sabe",0.031,0.048,0.011
"P21","Lo votaría",0.194,0.103,0.046
"P21","Puede que lo vote",0.366,0.541,0.084
"P21","Nunca lo votaría",0.379,0.27,0.843
"P21","No sabe",0.061,0.086,0.027
"P22","La votaría",0.244,0.282,0.266
"P22","Puede que la vote",0.376,0.407,0.374
"P22","Nunca la votaría",0.322,0.221,0.312
"P22","No sabe",0.058,0.09,0.048
"P23","Lo votaría",0.034,0.02,0.028
"P23","Puede que lo vote",0.074,0.052,0.04
"P23","Nunca lo votaría",0.859,0.896,0.915
"P23","No sabe",0.033,0.032,0.017
"P24","Lo votaría",0.124,0.035,0.066
"P24","Puede que lo vote",0.22,0.286,0.226
"P24","Nunca lo votaría",0.574,0.592,0.622
"P24","No sabe",0.082,0.087,0.086
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.49,0.582,0.606
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.331,0.183,0.199
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.01,0.003,0.005
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.021,0.043,0.057
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.087,0.083,0.001
"P25","Otros candidatos",0.061,0.106,0.132
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.029,0.05,0.054
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.744,0.742,0.761
"P29","Javier Milei – José Luis Espert por los liberales",0.175,0.111,0.013
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0,0.005,0.013
"P29","Otro candidato",0.052,0.092,0.159
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.542,0.542,0.615
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.043,0.089,0.062
