"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Katopodis","López Medrano","García","La Spina","Suarez"
"Unión por la Patria",0.312,0.298,0.325,0.238,0.338,0.304,0.35,0.328,0.278,0.356,0.566,0.107,0.145,0.214,0
"Juntos por el Cambio",0.355,0.332,0.376,0.298,0.289,0.469,0.4,0.324,0.362,0.383,0.174,0.799,0.501,0.191,0.201
"De los Liberales libertarios",0.152,0.23,0.082,0.337,0.173,0.051,0.046,0.176,0.146,0.13,0.109,0.049,0.332,0.249,0.117
"De la Izquierda",0.037,0.033,0.041,0.019,0.057,0.032,0.023,0.03,0.037,0.045,0.045,0.01,0,0.202,0.21
"Hacemos por Nuestro País",0.004,0.002,0.006,0,0.002,0.007,0.009,0,0.005,0.008,0,0,0,0,0
"Otro",0.034,0.031,0.036,0,0.062,0.023,0.026,0.04,0.034,0.025,0.022,0.004,0,0,0.472
"En blanco",0.034,0.018,0.048,0.054,0.028,0.032,0.027,0.02,0.052,0.018,0.014,0.022,0,0.075,0
"No sabe",0.072,0.056,0.086,0.054,0.051,0.082,0.119,0.082,0.086,0.035,0.07,0.009,0.022,0.069,0
