"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Katopodis","López Medrano","García","La Spina","Suarez"
"Siempre",0.201,0.24,0.168,0.175,0.222,0.19,0.204,0.274,0.148,0.207,0.262,0.216,0.124,0.278,0.473
"Casi siempre",0.307,0.28,0.33,0.078,0.322,0.416,0.376,0.214,0.349,0.347,0.302,0.516,0.08,0.112,0.334
"Casi nunca",0.341,0.339,0.342,0.46,0.337,0.301,0.276,0.359,0.34,0.319,0.359,0.216,0.769,0.059,0.193
"Nunca, pero esta es una excepción",0.151,0.141,0.16,0.287,0.119,0.093,0.144,0.153,0.163,0.127,0.077,0.052,0.027,0.551,0
