"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por Nuestro País","Otro","En blanco","No sabe"
"P05","Mucho",0.548,0.379,0.361,0.37,0.292,0.572,0.069,0.15
"P05","Bastante",0.314,0.348,0.142,0.285,0.353,0.08,0.078,0.156
"P05","Poco",0.099,0.214,0.231,0.154,0,0.223,0.181,0.471
"P05","Nada",0.036,0.043,0.224,0.054,0.355,0.125,0.672,0.139
"P05","No sabe",0.003,0.016,0.042,0.137,0,0,0,0.084
"P06","Siempre",0.259,0.192,0.21,0.22,0.357,0.253,0.02,0.029
"P06","Casi siempre",0.338,0.379,0.172,0.26,0.275,0.345,0.17,0.242
"P06","Casi nunca",0.316,0.355,0.401,0.366,0,0.223,0.166,0.465
"P06","Nunca, pero esta es una excepción",0.087,0.074,0.217,0.154,0.368,0.179,0.644,0.264
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.55,0.066,0.002,0.153,0.078,0.202,0,0.054
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Leonardo Grosso a intendente por Unión por la Patria",0.11,0.021,0.029,0.021,0,0,0,0
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.114,0.002,0.067,0.078,0,0.098,0,0
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Leonardo Grosso a intendente por Unión por la Patria",0.049,0.002,0.012,0.114,0,0.048,0.039,0.109
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.041,0.565,0.069,0.122,0,0.109,0.019,0.127
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.017,0.274,0.083,0.076,0.278,0.246,0.273,0
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.109,0.027,0.714,0,0,0.116,0.18,0.088
"P09","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.002,0.004,0.352,0.48,0.08,0,0.193
"P09","En blanco",0.004,0.003,0,0,0,0.09,0.432,0.018
"P09","No sabe",0.005,0.038,0.02,0.084,0.164,0.011,0.057,0.411
"P12","Lo votaría",0.674,0.039,0.03,0,0,0.168,0.039,0.177
"P12","Puede que lo vote",0.163,0.046,0.028,0.088,0,0.187,0.024,0.183
"P12","Nunca lo votaría",0.123,0.865,0.942,0.747,0.756,0.568,0.793,0.304
"P12","No sabe",0.04,0.05,0,0.165,0.244,0.077,0.144,0.336
"P13","Lo votaría",0.418,0.01,0.039,0.219,0,0.023,0,0.006
"P13","Puede que lo vote",0.265,0.035,0,0.062,0,0.209,0.073,0.104
"P13","Nunca lo votaría",0.227,0.934,0.947,0.589,0.758,0.629,0.741,0.314
"P13","No sabe",0.09,0.021,0.014,0.13,0.242,0.139,0.186,0.576
"P14","Lo votaría",0.415,0.01,0.08,0.021,0,0.067,0,0.151
"P14","Puede que lo vote",0.243,0.031,0.015,0.021,0,0.223,0,0.05
"P14","Nunca lo votaría",0.249,0.955,0.905,0.818,1,0.571,0.783,0.321
"P14","No sabe",0.093,0.004,0,0.14,0,0.139,0.217,0.478
"P15","Lo votaría",0.313,0.01,0.096,0.037,0,0.055,0.152,0.098
"P15","Puede que lo vote",0.307,0.021,0,0.059,0,0.129,0,0.1
"P15","Nunca lo votaría",0.288,0.966,0.893,0.735,1,0.686,0.421,0.404
"P15","No sabe",0.092,0.003,0.011,0.169,0,0.13,0.427,0.398
"P16","Lo votaría",0.096,0.616,0.106,0.047,0,0.12,0.274,0.113
"P16","Puede que lo vote",0.086,0.203,0.473,0.288,0.5,0.087,0,0.106
"P16","Nunca lo votaría",0.787,0.161,0.406,0.578,0.5,0.58,0.488,0.539
"P16","No sabe",0.031,0.02,0.015,0.087,0,0.213,0.238,0.242
"P17","Lo votaría",0.075,0.322,0.091,0.111,0.095,0.041,0.192,0.112
"P17","Puede que lo vote",0.031,0.447,0.183,0.291,0,0.166,0,0.222
"P17","Nunca lo votaría",0.871,0.21,0.689,0.511,0.723,0.579,0.571,0.34
"P17","No sabe",0.023,0.021,0.037,0.087,0.182,0.214,0.237,0.326
"P18","Lo votaría",0.073,0.069,0.766,0,0,0.136,0,0.119
"P18","Puede que lo vote",0.023,0.225,0.21,0.179,0.323,0.131,0,0.129
"P18","Nunca lo votaría",0.884,0.678,0.024,0.727,0.677,0.733,0.765,0.532
"P18","No sabe",0.02,0.028,0,0.094,0,0,0.235,0.22
"P19","Si",0.572,0.423,0.333,0.58,0.332,0.431,0.553,0.283
"P19","No",0.428,0.577,0.667,0.42,0.668,0.569,0.447,0.717
