"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Katopodis","López Medrano","García","La Spina","Suarez"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.216,0.229,0.204,0.125,0.239,0.225,0.251,0.242,0.204,0.205,0.37,0.135,0.039,0.109,0
"Sergio Massa a presidente, Axel Kicillof a gobernador y Leonardo Grosso a intendente por Unión por la Patria",0.048,0.037,0.057,0.019,0.043,0.069,0.06,0.07,0.027,0.059,0.066,0.021,0.163,0,0
"Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.054,0.052,0.055,0.028,0.08,0.05,0.034,0.044,0.052,0.069,0.078,0.006,0.012,0,0
"Juan Grabois a presidente, Axel Kicillof a gobernador y Leonardo Grosso a intendente por Unión por la Patria",0.031,0.033,0.03,0,0.058,0.028,0.015,0.035,0.016,0.054,0.035,0.005,0.031,0.118,0
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.246,0.208,0.28,0.133,0.224,0.305,0.329,0.214,0.247,0.282,0.114,0.527,0.401,0.182,0.47
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.138,0.147,0.131,0.206,0.12,0.15,0.091,0.139,0.155,0.108,0.106,0.175,0.273,0.018,0.198
"Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.171,0.223,0.124,0.375,0.171,0.064,0.095,0.192,0.184,0.12,0.157,0.079,0.059,0.476,0.119
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.025,0.034,0.047,0.022,0.033,0.023,0.014,0.032,0.045,0.04,0.019,0,0.018,0
"En blanco",0.018,0.007,0.029,0.028,0.012,0.025,0.015,0.008,0.029,0.014,0.001,0.019,0,0.04,0
"No sabe",0.048,0.039,0.056,0.039,0.031,0.051,0.087,0.042,0.054,0.044,0.033,0.014,0.022,0.039,0.213
