"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P06","Si, es una vivienda alquilada",0.369,0.248,0.282,0.277,0.233,0.345,0.299,0.343,0.412,0.336
"P06","No, no es una vivienda alquilada",0.631,0.752,0.718,0.723,0.767,0.655,0.701,0.657,0.588,0.664
"P07","Mejor que la ley anterior",0.1,0.056,0.073,0.095,0.116,0.199,0.099,0.063,0.229,0.06
"P07","Igual que la ley anterior",0.154,0.142,0.223,0.228,0.286,0.187,0.241,0.193,0.173,0.109
"P07","Peor que la ley anterior",0.413,0.524,0.429,0.188,0.321,0.248,0.356,0.509,0.24,0.353
"P07","No sabe",0.333,0.278,0.275,0.489,0.277,0.366,0.304,0.235,0.358,0.478
"P08","Que el estado no hace cumplir la actual ley de alquiler",0.103,0.075,0.058,0.146,0.101,0.238,0.113,0.119,0.14,0.165
"P08","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler",0.276,0.312,0.306,0.148,0.178,0.153,0.176,0.292,0.063,0.112
"P08","Por ambas razones",0.376,0.395,0.534,0.335,0.39,0.298,0.466,0.401,0.472,0.315
"P08","No sabe",0.245,0.218,0.102,0.371,0.331,0.311,0.245,0.188,0.325,0.408
"P09","Los inquilinos",0.284,0.205,0.21,0.388,0.284,0.353,0.251,0.198,0.28,0.165
"P09","Los propietarios",0.062,0.067,0.11,0.075,0.088,0.151,0.112,0.116,0.083,0.056
"P09","A ambos, propietarios e inquilinos",0.297,0.389,0.434,0.19,0.283,0.157,0.273,0.331,0.175,0.306
"P09","A ninguno",0.163,0.165,0.147,0.157,0.142,0.198,0.14,0.237,0.222,0.169
"P09","No sabe",0.194,0.174,0.099,0.19,0.203,0.141,0.224,0.118,0.24,0.304
"P10","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler",0.272,0.128,0.279,0.524,0.394,0.671,0.528,0.165,0.439,0.374
"P10","No, no se debería cobrar nada",0.563,0.713,0.617,0.3,0.48,0.212,0.287,0.699,0.303,0.388
"P10","No sabe",0.165,0.159,0.104,0.176,0.126,0.117,0.185,0.136,0.258,0.238
