"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.082,0.07,0.092,0.045,0.081,0.096,0.113,0.1,0.072,0.076,0.091,0.076,0.024,0.086
"Patricia Bullrich por Juntos por el Cambio",0.226,0.192,0.258,0.129,0.163,0.309,0.387,0.201,0.227,0.252,0.229,0.215,0.198,0.232
"Facundo Manes por Juntos por el Cambio",0.037,0.048,0.027,0.029,0.044,0.03,0.042,0.021,0.023,0.073,0.044,0.037,0.046,0.029
"Alberto Fernández por el Frente de Todos",0.076,0.062,0.088,0.127,0.069,0.049,0.056,0.096,0.084,0.041,0.066,0.124,0.037,0.07
"Sergio Massa por el Frente de Todos",0.073,0.069,0.076,0.078,0.073,0.072,0.066,0.069,0.068,0.084,0.074,0.058,0.077,0.077
"Wado de Pedro por el Frente de Todos",0.094,0.101,0.087,0.075,0.096,0.118,0.08,0.093,0.07,0.126,0.094,0.035,0.103,0.115
"Daniel Scioli por el Frente de Todos",0.064,0.064,0.065,0.049,0.072,0.064,0.069,0.06,0.075,0.054,0.06,0.079,0.038,0.067
"Javier Milei por los liberales libertarios",0.2,0.269,0.136,0.316,0.231,0.13,0.068,0.192,0.226,0.174,0.203,0.231,0.252,0.177
"Al candidato del Frente de Izquierda",0.029,0.021,0.037,0.057,0.031,0.011,0.013,0.021,0.035,0.031,0.031,0.012,0.058,0.03
"No sabe",0.119,0.104,0.134,0.095,0.14,0.121,0.106,0.147,0.12,0.089,0.108,0.133,0.167,0.117
