"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.517,0.399,0.386
"P05","Bastante",0.321,0.424,0.179
"P05","Poco",0.109,0.158,0.141
"P05","Nada",0.043,0.012,0.135
"P05","No sabe",0.01,0.007,0.159
"P06","Siempre",0.254,0.19,0.362
"P06","Casi siempre",0.392,0.435,0.251
"P06","Casi nunca",0.266,0.326,0.234
"P06","Nunca, pero esta es una excepción",0.088,0.049,0.153
"P08","Unión por la Patria",0.347,0.262,0.1
"P08","Juntos por el Cambio ",0.4,0.362,0.295
"P08","Liberales",0.131,0.162,0.018
"P08","Izquierda",0.038,0.043,0.09
"P08","Otro",0.022,0.053,0.116
"P08","No sabe",0.062,0.118,0.381
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.248,0.148,0.024
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.1,0.101,0.056
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.295,0.267,0.152
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.141,0.118,0.169
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.131,0.126,0.321
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.074,0.053
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.012,0
"P09","Otros",0.015,0.085,0.106
"P09","En blanco",0.004,0.023,0.043
"P09","No sabe",0.022,0.046,0.076
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.3,0.189,0
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.261,0.222,0.067
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.198,0.231,0.299
"P12","Ramiro Marra por la Libertad Avanza",0.125,0.085,0.211
"P12","Vanina Biasi por el Frente de Izquierda",0.059,0.039,0.043
"P12","Otros",0.039,0.129,0.181
"P12","En blanco",0.007,0.028,0.128
"P12","No sabe",0.011,0.077,0.071
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.21,0.239,0.011
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.118,0.083,0.052
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.163,0.205
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.173,0.108,0.234
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.122,0.164,0.151
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.068,0.022
