"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.606,0.617,0.47,0.409,0.447,0.544,0.372,0.412,0.182,0.149
"P05","Bastante",0.286,0.299,0.356,0.379,0.296,0.215,0.292,0.269,0.203,0.365
"P05","Poco",0.09,0.057,0.133,0.124,0.127,0.179,0.163,0.18,0.508,0.276
"P05","Nada",0.018,0,0.031,0.068,0.112,0.01,0.173,0.02,0.074,0.196
"P05","No sabe",0,0.027,0.01,0.02,0.018,0.052,0,0.119,0.033,0.014
"P06","Siempre",0.288,0.333,0.215,0.222,0.302,0.248,0.549,0.099,0.054,0.122
"P06","Casi siempre",0.383,0.289,0.487,0.393,0.288,0.361,0.129,0.196,0.259,0.229
"P06","Casi nunca",0.272,0.285,0.247,0.271,0.282,0.319,0.322,0.346,0.541,0.446
"P06","Nunca, pero esta es una excepción",0.057,0.093,0.051,0.114,0.128,0.072,0,0.359,0.146,0.203
"P08","Unión por la Patria",0.789,0.762,0.118,0.108,0.087,0.101,0,0.05,0,0.048
"P08","Juntos por el Cambio ",0.155,0.087,0.743,0.801,0.03,0.183,0.413,0.138,0.193,0.063
"P08","Liberales",0.011,0.015,0.067,0.008,0.728,0,0,0.203,0.073,0.018
"P08","Izquierda",0.003,0.045,0.005,0,0.045,0.6,0.13,0.025,0.033,0
"P08","Otro",0.01,0.038,0.014,0.036,0.042,0.032,0.248,0.239,0.297,0
"P08","No sabe",0.032,0.053,0.053,0.047,0.068,0.084,0.209,0.345,0.404,0.871
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.76,0.682,0.033,0.082,0.062,0.046,0,0.196,0.052,0.088
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.042,0.012,0.572,0.343,0.178,0.012,0,0,0,0.128
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.101,0.096,0.228,0.457,0.069,0.225,0.368,0,0.101,0.291
"P12","Ramiro Marra por la Libertad Avanza",0.039,0.005,0.099,0.048,0.588,0.03,0.145,0.033,0.103,0
"P12","Vanina Biasi por el Frente de Izquierda",0.006,0.143,0.011,0.044,0.071,0.431,0.146,0.036,0,0
"P12","Otros",0.035,0.05,0.042,0.02,0.02,0.163,0.052,0.583,0.101,0
"P12","En blanco",0.009,0,0.009,0,0,0.071,0.289,0.027,0.556,0.146
"P12","No sabe",0.008,0.012,0.006,0.006,0.012,0.022,0,0.125,0.087,0.347
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.485,0.509,0.047,0.077,0.03,0.322,0.125,0.122,0,0
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.229,0.256,0.035,0.022,0.041,0.262,0.088,0,0.12,0.048
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.032,0.023,0.408,0.463,0.404,0.041,0.257,0.021,0,0.014
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.098,0.016,0.286,0.318,0.114,0.013,0.046,0.047,0.108,0.035
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.066,0.075,0.175,0.029,0.32,0.029,0,0.146,0.205,0.029
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.08,0.004,0.003,0.023,0.137,0.203,0.187,0,0.127
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.004,0.003,0.018,0,0.032,0.193,0,0,0.087
"P18","Otros",0.021,0.037,0.009,0.006,0.009,0.14,0,0.141,0,0.044
"P18","En blanco",0.015,0,0.024,0.011,0.059,0.024,0,0.164,0.518,0.042
"P18","No sabe",0.006,0,0.009,0.053,0,0,0.088,0.172,0.049,0.574
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.405,0.49,0.034,0.092,0.06,0.273,0.174,0.185,0.271,0.075
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.094,0.051,0.467,0.455,0.239,0.025,0.062,0,0,0.088
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.124,0.088,0.276,0.281,0.108,0.06,0.238,0.061,0,0.26
"P21","Ramiro Marra por la Libertad Avanza",0.046,0.036,0.097,0.066,0.33,0.13,0.174,0,0,0.02
"P21","Vanina Biasi por el Frente de Izquierda",0.124,0.19,0.032,0.019,0.048,0.314,0.187,0,0,0
"P21","Otros",0.102,0.092,0.027,0.013,0.094,0.098,0.165,0.351,0,0.074
"P21","En blanco",0.06,0.039,0.043,0.029,0.087,0.1,0,0.028,0.654,0.124
"P21","No sabe",0.045,0.014,0.024,0.045,0.034,0,0,0.375,0.075,0.359
"P25","Totalmente seguro",0.776,0.574,0.707,0.525,0.69,0.602,0.725,0.45,0.258,0.041
"P25","Bastante seguro",0.144,0.363,0.154,0.261,0.111,0.134,0,0.215,0,0.032
"P25","Algo seguro",0.036,0.05,0.082,0.151,0.126,0.218,0.055,0.2,0.108,0.081
"P25","Para nada seguro",0.044,0.013,0.057,0.063,0.073,0.046,0.22,0.135,0.634,0.846
"P26","Tiene Decidido que va a ir a votar",0.953,0.908,0.916,0.896,0.847,0.818,0.89,0.578,0.521,0.767
"P26","Tiene dudas sobre si va a ir a  votar",0.043,0.07,0.063,0.057,0.062,0.129,0.11,0.246,0.232,0.12
"P26","Tiene Decidido que no va a ir a votar",0.004,0.022,0.021,0.047,0.091,0.053,0,0.176,0.247,0.113
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.937,0.692,0.008,0.203,0.024,0.067,0.18,0.084,0,0.107
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,0.013,0.87,0.517,0.062,0,0.098,0.046,0.18,0.017
