"var","categoria","Unión por la Patria","Juntos por el Cambio ","Liberales","Izquierda","Otro","No sabe"
"P05","Mucho",0.6,0.464,0.48,0.563,0.262,0.217
"P05","Bastante",0.293,0.355,0.304,0.28,0.254,0.268
"P05","Poco",0.088,0.13,0.102,0.078,0.316,0.318
"P05","Nada",0.006,0.04,0.097,0.032,0.109,0.157
"P05","No sabe",0.013,0.011,0.017,0.047,0.059,0.04
"P06","Siempre",0.303,0.22,0.21,0.271,0.34,0.17
"P06","Casi siempre",0.358,0.45,0.319,0.344,0.136,0.25
"P06","Casi nunca",0.272,0.255,0.336,0.236,0.431,0.369
"P06","Nunca, pero esta es una excepción",0.067,0.075,0.135,0.149,0.093,0.211
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.563,0.091,0.019,0.016,0.07,0.074
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.225,0.021,0.011,0.109,0.104,0.051
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.106,0.547,0.147,0.041,0.116,0.156
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.046,0.28,0.008,0,0.144,0.066
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.037,0.011,0.761,0.155,0.168,0.095
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.019,0,0.623,0.038,0.035
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.009,0,0.028,0.063,0.019
"P09","Otros",0.004,0.009,0.041,0.017,0.182,0.092
"P09","En blanco",0,0.007,0.007,0.011,0.115,0.055
"P09","No sabe",0.006,0.006,0.006,0,0,0.357
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.654,0.1,0.081,0.115,0.253,0.058
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.087,0.479,0.197,0.062,0.04,0.094
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.129,0.283,0.078,0.15,0.207,0.248
"P12","Ramiro Marra por la Libertad Avanza",0.058,0.054,0.561,0.059,0.128,0.096
"P12","Vanina Biasi por el Frente de Izquierda",0.037,0.028,0.056,0.385,0.052,0.067
"P12","Otros",0.022,0.035,0.016,0.136,0.251,0.157
"P12","En blanco",0.003,0.015,0,0.071,0.021,0.125
"P12","No sabe",0.01,0.006,0.011,0.022,0.048,0.155
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.453,0.092,0.024,0.148,0.11,0.1
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.195,0.052,0.038,0.271,0.105,0.077
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.101,0.382,0.366,0.158,0.278,0.089
