"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Totalmente seguro",0.652,0.673,0.633,0.63,0.652,0.686,0.637,0.589,0.645,0.677,0.683,0.695,0.593
"Bastante seguro",0.176,0.19,0.165,0.161,0.189,0.175,0.172,0.173,0.192,0.168,0.186,0.176,0.127
"Algo seguro",0.092,0.077,0.105,0.121,0.07,0.093,0.097,0.089,0.1,0.087,0.073,0.091,0.162
"Para nada seguro",0.08,0.06,0.097,0.088,0.089,0.046,0.094,0.149,0.063,0.068,0.058,0.038,0.118
