"clase","Todos","Masculino","Femenino","No binario","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Masculino",0.454,1,0,0,0.427,0.473,0.463,0.444,0.491,0.421,0.45,0.417,0.474,0.443,0.446,0.43,0.42,0.5,0.445,0.462,0.423
"Femenino",0.484,0,1,0,0.465,0.479,0.51,0.497,0.461,0.545,0.411,0.485,0.458,0.504,0.505,0.553,0.518,0.422,0.518,0.49,0.51
"No binario",0.062,0,0,1,0.108,0.048,0.027,0.059,0.048,0.034,0.139,0.098,0.068,0.053,0.049,0.017,0.062,0.078,0.037,0.048,0.067
