"clase","Todos","Masculino","Femenino","No binario","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"De $25.000 a $300.000",0.571,0.516,0.636,0.511,0.653,0.533,0.514,0.637,0.668,0.537,0.479,0.633,0.595,0.628,0.554,0.813,0.474,0.554,0.542,0.574,0.449
"De $300.000 a $500.000",0.134,0.149,0.13,0.062,0.07,0.162,0.14,0.139,0.102,0.142,0.169,0.108,0.106,0.13,0.158,0.052,0.194,0.173,0.163,0.09,0.099
"De $500.000 a $800.000",0.065,0.062,0.053,0.163,0.047,0.061,0.097,0.055,0.036,0.068,0.107,0.055,0.05,0.058,0.094,0.057,0.026,0.063,0.084,0.036,0.168
"De $800.000 a $1.500.000",0.071,0.066,0.08,0.045,0.023,0.08,0.099,0.074,0.037,0.083,0.105,0.068,0.087,0.047,0.063,0.03,0.079,0.049,0.037,0.125,0.099
"De $1.500.000 a $3.000.000",0.086,0.109,0.069,0.044,0.094,0.092,0.092,0.05,0.077,0.092,0.086,0.049,0.101,0.036,0.063,0.023,0.1,0.068,0.141,0.15,0.121
"De $3.000.000 a $5.000.000",0.029,0.045,0.016,0.012,0.044,0.033,0.024,0.008,0.051,0.021,0.01,0.005,0.032,0.02,0.014,0,0.088,0.061,0.023,0.007,0.009
"Más de $5.000.000",0.044,0.053,0.016,0.163,0.069,0.039,0.034,0.037,0.029,0.057,0.044,0.082,0.029,0.081,0.054,0.025,0.039,0.032,0.01,0.018,0.055
