"clase","Todos","Masculino","Femenino","No binario","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.334,0.4,0.258,0.39,0.346,0.325,0.298,0.39,0.354,0.321,0.324,0.287,0.339,0.342,0.295,0.305,0.277,0.315,0.481,0.357,0.402
"No",0.666,0.6,0.742,0.61,0.654,0.675,0.702,0.61,0.646,0.679,0.676,0.713,0.661,0.658,0.705,0.695,0.723,0.685,0.519,0.643,0.598
