"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.351,0.345,0.357,0.307,0.318,0.378,0.458,0.356,0.344,0.356,0.328,0.369,0.083,0.511,0.297,0.242,0.651,0.684,0.387,0.143
"Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.272,0.265,0.28,0.28,0.303,0.249,0.221,0.305,0.27,0.244,0.271,0.274,0.413,0.21,0.368,0.462,0.086,0.086,0.052,0.16
"A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.1,0.095,0.104,0.085,0.093,0.111,0.124,0.082,0.106,0.11,0.087,0.11,0.29,0.032,0.033,0.085,0.045,0.034,0.066,0.296
"A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.101,0.139,0.066,0.184,0.105,0.06,0.028,0.107,0.095,0.102,0.12,0.086,0.034,0.116,0.095,0.083,0.098,0.089,0.113,0.049
"A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.028,0.022,0.034,0.023,0.029,0.034,0.027,0.011,0.035,0.035,0.039,0.019,0.018,0.024,0.037,0.02,0.013,0.018,0.251,0.006
"A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.029,0.04,0.018,0.037,0.033,0.024,0.012,0.035,0.024,0.029,0.026,0.031,0.056,0.008,0.006,0.013,0.014,0.002,0.029,0.254
"Votaría en blanco",0.036,0.034,0.037,0.025,0.038,0.045,0.032,0.035,0.038,0.034,0.032,0.039,0.031,0.031,0.04,0.024,0.026,0.017,0.023,0.029
"No sabe",0.083,0.06,0.104,0.059,0.081,0.099,0.098,0.069,0.088,0.09,0.097,0.072,0.075,0.068,0.124,0.071,0.067,0.07,0.079,0.063
