"var","categoria","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.045,0.4,0.849,0.034,0.068,0.248,0.105,0.133
"P07","De Cambiemos",0.654,0.274,0.031,0.104,0.304,0.101,0.344,0.24
"P07","De los Liberales libertarios",0.188,0.095,0.017,0.707,0.19,0.033,0.087,0.094
"P07","De la Izquierda",0.012,0.01,0.035,0.02,0.143,0.398,0.024,0.013
"P07","Otros",0.041,0.103,0.036,0.045,0.238,0.124,0.099,0.132
"P07","No sabe",0.06,0.118,0.032,0.09,0.057,0.096,0.341,0.388
"P08","A Alberto Fernández",0.179,0.19,0.093,0.326,0.202,0.297,0.288,0.195
"P08","A Sergio Massa",0.238,0.188,0.172,0.151,0.282,0.076,0.216,0.107
"P08","A algún candidato del peronismo",0.501,0.367,0.133,0.414,0.444,0.083,0.107,0.296
"P08","A algún candidato del kirchnerismo",0.082,0.255,0.602,0.109,0.072,0.544,0.389,0.402
"P09","A Alberto Fernández",0.118,0.133,0.047,0.325,0.202,0.051,0.191,0.19
"P09","A Sergio Massa",0.153,0.153,0.126,0.029,0.136,0,0.025,0.08
"P09","A algún candidato del peronismo",0.51,0.319,0.079,0.489,0.274,0.293,0.171,0.237
"P09","A Cristina Fernández de Kirchner",0.219,0.395,0.748,0.157,0.388,0.656,0.613,0.493
"P10","A Horacio Rodriguez Larreta",0.193,0.287,0,0.064,0.184,0.942,0.333,0.244
"P10","A Mauricio Macri",0.339,0.292,0.379,0.467,0.118,0,0.247,0.278
"P10","A Patricia Bullrich",0.381,0.313,0.188,0.418,0.435,0.03,0.271,0.421
"P10","A Facundo Manes",0.043,0.087,0.257,0,0.073,0.028,0.106,0.031
"P10","A Gerardo Morales",0.044,0.021,0.176,0.051,0.19,0,0.043,0.026
"P11","A Juntos por el Cambio",0.632,0.14,0.027,0.103,0.17,0.085,0.254,0.179
"P11","Al Frente de Todos",0.051,0.132,0.749,0.013,0.057,0.082,0.062,0.065
"P11","A Hacemos por Córdoba",0.14,0.562,0.059,0.175,0.108,0.081,0.124,0.145
"P11","A los liberales libertarios de Milei",0.085,0.039,0.065,0.65,0.121,0.053,0.017,0.068
"P11","A Encuentro Vecinal Córdoba",0.015,0.024,0.007,0.008,0.444,0.049,0.006,0.03
"P11","Al Frente de Izquierda",0.008,0.015,0.039,0.028,0.038,0.552,0.101,0.085
"P11","No sabe",0.069,0.088,0.054,0.023,0.062,0.098,0.436,0.428
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.736,0.515,0.499,0.593,0.333,0.037,0.094,0.254
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.238,0.136,0.215,0.385,0.61,0.963,0.632,0.556
