"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Juan Schiaretti","Muy buena",0.227,0.209,0.244,0.214,0.236,0.234,0.21,0.295,0.228,0.161,0.201,0.246,0.245,0.226,0.325,0.372,0.126,0.083,0.106,0.078
"Juan Schiaretti","Buena",0.204,0.222,0.187,0.164,0.208,0.231,0.21,0.244,0.187,0.187,0.191,0.214,0.181,0.218,0.256,0.239,0.204,0.266,0.122,0.053
"Juan Schiaretti","Ni buena ni mala",0.217,0.207,0.227,0.232,0.192,0.215,0.262,0.182,0.214,0.254,0.234,0.205,0.169,0.239,0.178,0.18,0.279,0.243,0.343,0.137
"Juan Schiaretti","Mala",0.161,0.161,0.161,0.171,0.163,0.143,0.167,0.109,0.165,0.204,0.187,0.141,0.185,0.149,0.086,0.11,0.185,0.168,0.191,0.234
"Juan Schiaretti","Muy mala",0.176,0.188,0.165,0.21,0.182,0.169,0.128,0.146,0.191,0.187,0.171,0.18,0.214,0.15,0.134,0.089,0.192,0.212,0.226,0.49
"Juan Schiaretti","No sabe",0.015,0.013,0.016,0.009,0.019,0.008,0.023,0.024,0.015,0.007,0.016,0.014,0.006,0.018,0.021,0.01,0.014,0.028,0.012,0.008
"Luis Juez","Muy buena",0.222,0.23,0.214,0.149,0.197,0.281,0.294,0.239,0.202,0.227,0.206,0.233,0.071,0.317,0.146,0.163,0.414,0.351,0.17,0.092
"Luis Juez","Buena",0.208,0.191,0.224,0.197,0.195,0.213,0.246,0.208,0.21,0.206,0.185,0.225,0.088,0.279,0.17,0.189,0.298,0.278,0.219,0.112
"Luis Juez","Ni buena ni mala",0.185,0.186,0.184,0.264,0.176,0.165,0.13,0.196,0.221,0.133,0.179,0.19,0.148,0.193,0.165,0.198,0.14,0.19,0.218,0.09
"Luis Juez","Mala",0.158,0.164,0.153,0.137,0.184,0.13,0.164,0.163,0.135,0.182,0.177,0.145,0.236,0.11,0.22,0.209,0.057,0.103,0.241,0.164
"Luis Juez","Muy mala",0.207,0.212,0.203,0.237,0.224,0.19,0.151,0.161,0.218,0.238,0.232,0.188,0.445,0.082,0.233,0.217,0.078,0.075,0.152,0.534
"Luis Juez","No sabe",0.02,0.017,0.022,0.016,0.024,0.021,0.015,0.033,0.014,0.014,0.021,0.019,0.012,0.019,0.066,0.024,0.013,0.003,0,0.008
"Patricia Bullrich","Muy buena",0.263,0.286,0.241,0.219,0.205,0.342,0.35,0.239,0.26,0.29,0.284,0.247,0.079,0.392,0.172,0.191,0.483,0.402,0.311,0.106
