"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"A Alberto Fernández",0.167,0.16,0.173,0.206,0.149,0.183,0.128,0.244,0.135,0.126,0.157,0.175,0.164,0.241,0.041,0.173,0.18,0.654,0.111,0.07
"A Sergio Massa",0.18,0.187,0.173,0.162,0.188,0.087,0.313,0.18,0.189,0.167,0.183,0.177,0.178,0.155,0.177,0.184,0.288,0.03,0.207,0.067
"A algún candidato del peronismo",0.3,0.298,0.302,0.357,0.306,0.291,0.206,0.345,0.317,0.232,0.289,0.309,0.254,0.394,0.419,0.361,0.354,0.031,0.281,0.136
"A algún candidato del kirchnerismo",0.353,0.355,0.352,0.275,0.357,0.439,0.353,0.231,0.359,0.475,0.371,0.339,0.404,0.21,0.363,0.282,0.178,0.285,0.401,0.727
