"var","categoria","A Juntos por el Cambio","Al Frente de Todos","A Hacemos por Córdoba","A los liberales libertarios de Milei","A Encuentro Vecinal Córdoba","Al Frente de Izquierda","No sabe"
"P07","Del Frente de Todos y el peronismo",0.08,0.602,0.34,0.11,0.068,0.148,0.117
"P07","De Cambiemos",0.731,0.244,0.275,0.118,0.197,0.027,0.137
"P07","De los Liberales libertarios",0.141,0.037,0.182,0.563,0.116,0.027,0.078
"P07","De la Izquierda",0.004,0.041,0.008,0.058,0.102,0.256,0.022
"P07","Otros",0.017,0.033,0.096,0.042,0.478,0.113,0.155
"P07","No sabe",0.027,0.043,0.099,0.109,0.039,0.429,0.491
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.713,0.134,0.158,0.18,0.101,0.031,0.16
"P13","A Martín Llaryora por Hacemos por Córdoba",0.135,0.298,0.697,0.118,0.248,0.111,0.187
"P13","Al candidato del Frente de Todos",0.019,0.494,0.032,0.05,0.024,0.089,0.034
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.025,0.018,0.056,0.551,0.026,0.028,0.02
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.012,0.005,0.008,0.03,0.42,0.022,0.027
"P13","Al candidato del Frente de Izquierda",0.002,0.01,0.005,0.02,0.092,0.397,0.012
"P13","Votaría en blanco",0.037,0.022,0.005,0.01,0.01,0.09,0.136
"P13","No sabe",0.057,0.019,0.039,0.041,0.079,0.232,0.424
"P15","A Luis Juez por Juntos por el Cambio",0.682,0.123,0.197,0.151,0.148,0.079,0.223
"P15","A Martín Llaryora por Hacemos por Córdoba",0.212,0.303,0.656,0.139,0.226,0.14,0.204
"P15","Al candidato del Frente de Todos",0.012,0.495,0.025,0.044,0.036,0.061,0.035
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.019,0.023,0.056,0.563,0.028,0.026,0.022
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.02,0.006,0.01,0.024,0.405,0.006,0.029
"P15","Al candidato del Frente de Izquierda",0.003,0.007,0.007,0.024,0.081,0.433,0.014
"P15","Votaría en blanco",0.016,0.017,0.007,0.02,0.03,0.049,0.117
"P15","No sabe",0.036,0.026,0.042,0.035,0.046,0.206,0.356
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.76,0.147,0.195,0.239,0.181,0.074,0.234
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.146,0.256,0.621,0.069,0.145,0.05,0.209
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.015,0.503,0.02,0.05,0.047,0.054,0.06
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.019,0.014,0.066,0.539,0.027,0.098,0.011
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.012,0.005,0.008,0.015,0.433,0.036,0.019
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.006,0.026,0.007,0.021,0.056,0.383,0.016
"P17","Votaría en blanco",0.007,0.013,0.022,0.008,0.013,0.117,0.134
"P17","No sabe",0.035,0.036,0.061,0.059,0.098,0.188,0.317
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.729,0.126,0.198,0.242,0.176,0.07,0.219
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.126,0.253,0.619,0.086,0.219,0.098,0.214
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.53,0.024,0.052,0.024,0.094,0.049
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.034,0.009,0.071,0.53,0.026,0.07,0.021
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.015,0.011,0.012,0.027,0.418,0.026,0.015
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.008,0.017,0.009,0.012,0.047,0.383,0.025
"P18","Votaría en blanco",0.03,0.016,0.018,0.005,0.007,0.088,0.14
"P18","No sabe",0.049,0.038,0.049,0.046,0.083,0.171,0.317
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.782,0.14,0.163,0.22,0.199,0.043,0.253
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.116,0.281,0.645,0.079,0.161,0.15,0.186
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.01,0.491,0.027,0.048,0.005,0.084,0.047
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.024,0.013,0.081,0.576,0.07,0.04,0.022
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.011,0.009,0.012,0.019,0.38,0.039,0.013
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.006,0.02,0.007,0.01,0.075,0.333,0.027
"P19","Votaría en blanco",0.023,0.02,0.016,0.013,0.03,0.078,0.151
"P19","No sabe",0.028,0.026,0.049,0.035,0.08,0.233,0.301
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.72,0.143,0.183,0.245,0.194,0.044,0.255
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.123,0.304,0.646,0.089,0.145,0.157,0.212
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.485,0.021,0.036,0.011,0.061,0.047
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.037,0.006,0.08,0.552,0.058,0.08,0.041
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.017,0.002,0.004,0.014,0.399,0.03,0.016
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.002,0.006,0.002,0.013,0.044,0.357,0.017
"P20","Votaría en blanco",0.044,0.023,0.026,0.011,0.046,0.047,0.1
"P20","No sabe",0.049,0.031,0.038,0.04,0.103,0.224,0.312
"P21","Lo votaría",0.564,0.158,0.198,0.21,0.251,0.064,0.236
"P21","Puede que lo vote",0.286,0.131,0.262,0.3,0.158,0.194,0.257
"P21","Nunca lo votaría",0.145,0.696,0.53,0.43,0.556,0.693,0.409
"P21","No sabe",0.005,0.015,0.01,0.06,0.035,0.049,0.098
"P22","Lo votaría",0.203,0.278,0.594,0.128,0.164,0.048,0.242
"P22","Puede que lo vote",0.155,0.285,0.205,0.228,0.168,0.262,0.318
"P22","Nunca lo votaría",0.637,0.433,0.191,0.627,0.645,0.646,0.357
"P22","No sabe",0.005,0.004,0.01,0.017,0.023,0.044,0.083
"P23","Lo votaría",0.564,0.144,0.199,0.188,0.236,0.057,0.212
"P23","Puede que lo vote",0.232,0.085,0.167,0.283,0.158,0.15,0.241
"P23","Nunca lo votaría",0.192,0.762,0.612,0.492,0.591,0.736,0.454
"P23","No sabe",0.012,0.009,0.022,0.037,0.015,0.057,0.093
"P24","Lo votaría",0.107,0.303,0.104,0.048,0.079,0.107,0.051
"P24","Puede que lo vote",0.109,0.251,0.196,0.138,0.113,0.212,0.236
"P24","Nunca lo votaría",0.782,0.442,0.691,0.804,0.802,0.66,0.684
"P24","No sabe",0.002,0.004,0.009,0.01,0.006,0.021,0.029
"P25","Muy buena",0.447,0.119,0.151,0.198,0.076,0.011,0.15
"P25","Buena",0.22,0.106,0.179,0.222,0.165,0.193,0.164
"P25","Ni buena ni mala",0.276,0.224,0.389,0.321,0.429,0.344,0.334
"P25","Mala",0.024,0.193,0.132,0.109,0.177,0.243,0.084
"P25","Muy mala",0.006,0.321,0.12,0.097,0.085,0.172,0.15
"P25","No sabe",0.027,0.037,0.029,0.053,0.068,0.037,0.118
"P26","Muy buena",0.438,0.103,0.103,0.169,0.132,0.024,0.166
"P26","Buena",0.298,0.084,0.179,0.224,0.101,0.221,0.181
