"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Lo votaría",0.308,0.326,0.292,0.265,0.282,0.34,0.385,0.339,0.296,0.294,0.283,0.327,0.101,0.443,0.236,0.231,0.519,0.586,0.329,0.151
"Puede que lo vote",0.249,0.223,0.273,0.27,0.255,0.226,0.237,0.256,0.242,0.25,0.243,0.254,0.144,0.285,0.317,0.265,0.279,0.217,0.297,0.093
"Nunca lo votaría",0.417,0.427,0.407,0.433,0.44,0.403,0.358,0.38,0.431,0.436,0.439,0.4,0.738,0.25,0.401,0.491,0.169,0.147,0.356,0.726
"No sabe",0.026,0.024,0.028,0.032,0.023,0.031,0.02,0.025,0.031,0.02,0.035,0.019,0.017,0.022,0.046,0.013,0.033,0.05,0.018,0.03
