var,categoria,A Rodrigo De Loredo por Juntos por el Cambio,A Daniel Passerini por Hacemos por Cordoba,Al candidato del frente de todos,Al candidato de los liberales libertarios con el apoyo de Javier Milei,A  Juan Pablo Quinteros por Encuentro Vecinal,Al candidato del frente de izquierda,Votaría en blanco,No sabe
P07,Del Frente de Todos y el peronismo,0.085,0.499,0.739,0.01,0.136,0.182,0.307,0.132
P07,De Cambiemos,0.562,0.236,0.125,0.084,0.244,0.03,0.259,0.221
P07,De los Liberales libertarios,0.243,0.115,0.03,0.698,0.083,0.018,0.19,0.201
P07,De la Izquierda,0.015,0.016,0.023,0.051,0.036,0.603,0.07,0.067
P07,Otros,0.039,0.072,0.059,0.012,0.312,0.071,0.048,0.078
P07,No sabe,0.056,0.062,0.024,0.145,0.189,0.096,0.126,0.301
P11,A Juntos por el Cambio,0.604,0.129,0.108,0.093,0.094,0.03,0.224,0.265
P11,Al Frente de Todos,0.083,0.153,0.542,0.01,0.063,0.052,0.168,0.048
P11,A Hacemos por Córdoba,0.138,0.56,0.148,0.249,0.057,0.034,0.202,0.153
P11,A los liberales libertarios de Milei,0.088,0.07,0.081,0.596,0.017,0.041,0.0,0.051
P11,A Encuentro Vecinal Córdoba,0.02,0.018,0.0,0.028,0.396,0.0,0.0,0.049
P11,Al Frente de Izquierda,0.011,0.014,0.068,0.0,0.175,0.762,0.07,0.04
P11,No sabe,0.056,0.056,0.053,0.024,0.198,0.081,0.336,0.394
P44,A Luis Juez por Juntos por el Cambio,0.613,0.133,0.114,0.165,0.153,0.023,0.216,0.281
P44,A Daniel Passerini por Hacemos por Cordoba,0.151,0.804,0.092,0.046,0.032,0.027,0.117,0.016
P44,Al candidato del frente de todos,0.014,0.017,0.638,0.0,0.025,0.0,0.024,0.007
P44,Al candidato de los liberales libertarios con el apoyo de Javier Milei,0.072,0.005,0.042,0.629,0.0,0.0,0.0,0.151
P44,A  Juan Pablo Quinteros por Encuentro Vecinal,0.044,0.019,0.024,0.041,0.736,0.0,0.0,0.014
P44,Al candidato del frente de izquierda,0.002,0.0,0.072,0.01,0.03,0.843,0.127,0.0
P44,Votaría en blanco,0.021,0.011,0.0,0.0,0.008,0.049,0.489,0.046
P44,No sabe,0.083,0.011,0.018,0.109,0.016,0.058,0.027,0.485
P46,Lo votaría,0.772,0.107,0.102,0.068,0.125,0.016,0.132,0.025
P46,Puede que lo vote,0.17,0.202,0.142,0.49,0.346,0.069,0.255,0.296
P46,Nunca lo votaría,0.051,0.676,0.752,0.431,0.529,0.868,0.613,0.512
P46,No sabe,0.007,0.015,0.004,0.011,0.0,0.047,0.0,0.167
P47,Lo votaría,0.193,0.677,0.102,0.031,0.03,0.035,0.135,0.012
P47,Puede que lo vote,0.137,0.144,0.321,0.17,0.287,0.114,0.235,0.319
P47,Nunca lo votaría,0.66,0.158,0.574,0.789,0.683,0.808,0.63,0.511
P47,No sabe,0.01,0.021,0.003,0.01,0.0,0.043,0.0,0.158
P48,Lo votaría,0.491,0.164,0.067,0.144,0.074,0.159,0.249,0.264
P48,Puede que lo vote,0.266,0.098,0.168,0.193,0.363,0.029,0.022,0.116
