"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.19,0.169,0.209,0.175,0.211,0.169,0.194,0.188,0.177,0.201,0.388,0.058,0.163
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.123,0.114,0.13,0.18,0.117,0.108,0.09,0.1,0.12,0.132,0.25,0.04,0.155
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.269,0.28,0.259,0.258,0.207,0.305,0.348,0.283,0.269,0.264,0.095,0.432,0.285
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.156,0.158,0.155,0.109,0.148,0.193,0.177,0.124,0.148,0.172,0.075,0.235,0.102
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.129,0.156,0.106,0.134,0.155,0.115,0.094,0.179,0.138,0.106,0.065,0.164,0.125
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.023,0.019,0.02,0.03,0.02,0.006,0.021,0.012,0.026,0.02,0.01,0.046
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.016,0.007,0.024,0.028,0.012,0.02,0.008,0.024,0.021,0.011,0.026,0.005,0.035
"Otros",0.035,0.042,0.03,0.048,0.039,0.022,0.033,0.047,0.033,0.033,0.036,0.01,0.036
"En blanco",0.024,0.025,0.022,0.024,0.027,0.021,0.021,0.014,0.028,0.024,0.022,0.018,0.02
"No sabe",0.037,0.026,0.046,0.024,0.054,0.027,0.029,0.02,0.054,0.031,0.023,0.028,0.033
