"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.56,0.549,0.687,0.522
"P05","Bastante",0.323,0.286,0.207,0.302
"P05","Poco",0.095,0.113,0.08,0.104
"P05","Nada",0.017,0.025,0.021,0.045
"P05","No sabe",0.005,0.027,0.005,0.027
"P06","Siempre",0.283,0.302,0.245,0.283
"P06","Casi siempre",0.42,0.403,0.445,0.419
"P06","Casi nunca",0.24,0.25,0.256,0.201
"P06","Nunca, pero esta es una excepción",0.057,0.045,0.054,0.097
"P08","Unión por la Patria",0.193,0.171,0.659,0.425
"P08","Juntos por el Cambio",0.708,0.396,0.176,0.303
"P08","Liberales",0.036,0.384,0.015,0.006
"P08","Izquierda",0.013,0.006,0.074,0.054
"P08","Otro",0.018,0.012,0.04,0.036
"P08","No sabe",0.032,0.031,0.036,0.176
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.111,0.046,0.507,0.458
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.059,0.019,0.248,0.097
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.443,0.397,0.089,0.198
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.299,0.069,0.011,0.009
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.454,0.018,0.024
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.013,0,0.064,0.037
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.006,0.009,0.018,0.053
"P09","Otros",0.011,0.002,0.031,0.018
"P09","En blanco",0.001,0,0.008,0.015
"P09","No sabe",0.013,0.004,0.006,0.091
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.123,0.07,0.653,0.436
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.444,0.325,0.092,0.215
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.3,0.177,0.1,0.102
"P12","Ramiro Marra por la Libertad Avanza",0.042,0.314,0.016,0.04
"P12","Vanina Biasi por el Frente de Izquierda",0.051,0.029,0.054,0.037
"P12","Otros",0.014,0.039,0.034,0.046
"P12","En blanco",0.012,0.032,0.026,0.01
"P12","No sabe",0.014,0.014,0.025,0.114
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.114,0.082,0.421,0.338
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.078,0.032,0.279,0.226
