"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.667,0.529,0.553,0.488,0.374,0.589,0.465,0.507
"P05","Bastante",0.238,0.331,0.28,0.21,0.227,0.278,0.341,0.262
"P05","Poco",0.056,0.12,0.093,0.062,0.197,0.133,0.158,0.111
"P05","Nada",0.028,0.008,0.046,0.166,0.202,0,0.036,0.081
"P05","No sabe",0.011,0.012,0.028,0.074,0,0,0,0.039
"P06","Siempre",0.253,0.288,0.303,0.334,0.155,0.331,0.295,0.301
"P06","Casi siempre",0.409,0.437,0.399,0.31,0.234,0.37,0.393,0.354
"P06","Casi nunca",0.27,0.239,0.209,0.25,0.511,0.222,0.263,0.243
"P06","Nunca, pero esta es una excepción",0.068,0.036,0.089,0.106,0.1,0.077,0.049,0.102
"P08","Unión por la Patria",0.788,0.076,0.114,0.297,0.115,0.189,0.099,0.089
"P08","Juntos por el Cambio",0.144,0.827,0.322,0.093,0.235,0.446,0.69,0.444
"P08","Liberales",0.009,0.031,0.486,0.075,0.054,0.035,0.037,0.019
"P08","Izquierda",0.02,0.003,0.001,0.468,0.2,0.046,0.036,0
"P08","Otro",0.015,0.031,0.023,0.051,0.213,0.096,0.025,0.014
"P08","No sabe",0.024,0.032,0.054,0.016,0.183,0.188,0.113,0.434
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.649,0.013,0.014,0.104,0.067,0.076,0,0.034
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.248,0.006,0.009,0.246,0.045,0.088,0.036,0.043
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.034,0.547,0.326,0.06,0.026,0.392,0.739,0.348
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.013,0.356,0.005,0.014,0.128,0.122,0.024,0.131
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.011,0.033,0.633,0.068,0.044,0.086,0.013,0.077
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.007,0,0.451,0.056,0.015,0.025,0
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0.009,0.003,0,0.482,0,0.032,0.02
"P09","Otros",0.008,0.015,0.007,0.057,0.085,0.141,0.025,0.046
"P09","En blanco",0.008,0,0,0,0.041,0.019,0.093,0.04
"P09","No sabe",0.015,0.014,0.003,0,0.026,0.061,0.013,0.261
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.712,0.033,0.035,0.285,0.291,0.149,0.05,0.107
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.054,0.507,0.319,0.033,0.085,0.412,0.625,0.343
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.125,0.334,0.152,0.095,0.13,0.052,0.111,0.149
"P12","Ramiro Marra por la Libertad Avanza",0.034,0.04,0.386,0.016,0.066,0.065,0.023,0.071
"P12","Vanina Biasi por el Frente de Izquierda",0.03,0.029,0.042,0.367,0,0.044,0.027,0.078
"P12","Otros",0.006,0.015,0.039,0.114,0.131,0.092,0.012,0.026
"P12","En blanco",0.017,0.018,0.018,0.019,0.179,0,0.116,0.029
"P12","No sabe",0.022,0.024,0.009,0.071,0.118,0.186,0.036,0.197
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.505,0.055,0.045,0.093,0.156,0.053,0.015,0.177
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.309,0.034,0.036,0.374,0.047,0.094,0,0.04
