"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.662,0.515,0.597,0.52
"P05","Bastante",0.223,0.355,0.198,0.271
"P05","Poco",0.07,0.104,0.128,0.109
"P05","Nada",0.025,0.019,0.05,0.033
"P05","No sabe",0.02,0.007,0.027,0.067
"P06","Siempre",0.274,0.281,0.237,0.409
"P06","Casi siempre",0.42,0.451,0.307,0.334
"P06","Casi nunca",0.247,0.227,0.33,0.173
"P06","Nunca, pero esta es una excepción",0.059,0.041,0.126,0.084
"P08","Unión por la Patria",0.696,0.072,0.269,0.099
"P08","Juntos por el Cambio",0.204,0.739,0.176,0.287
"P08","Liberales",0.031,0.151,0.257,0.16
"P08","Izquierda",0.027,0.008,0.106,0.101
"P08","Otro",0.022,0.011,0.09,0.051
"P08","No sabe",0.02,0.019,0.102,0.302
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.562,0.009,0.151,0.019
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.213,0.007,0.106,0.085
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.053,0.602,0.099,0.069
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.052,0.207,0.105,0.226
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.152,0.32,0.259
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.002,0.076,0.103
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.003,0.009,0.035,0.082
"P09","Otros",0.02,0.002,0.052,0.017
"P09","En blanco",0.006,0,0.04,0
"P09","No sabe",0.008,0.01,0.016,0.14
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.617,0.03,0.205,0.097
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.075,0.533,0.137,0.212
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.146,0.237,0.217,0.178
"P12","Ramiro Marra por la Libertad Avanza",0.055,0.121,0.195,0.097
"P12","Vanina Biasi por el Frente de Izquierda",0.053,0.035,0.079,0.058
"P12","Otros",0.008,0.017,0.079,0.156
"P12","En blanco",0.016,0.018,0.044,0.022
